# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-010-logSNR.txt
# order     : 1
# steps     : 10
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99930942  :    0.00495 :    3
# 0.99524850  :    0.01780 :   16
# 0.96806973  :    0.05273 :   51
# 0.81441778  :    0.13905 :  138
# 0.38845780  :    0.30332 :  302
# 0.08420218  :    0.49312 :  492
# 0.01313375  :    0.65359 :  652
# 0.00192265  :    0.78582 :  784
# 0.00027875  :    0.89929 :  898
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 7852602660765189830
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:705.716191 = 702.885201 + 2.830990
# loss_var    : 1434.589447 => 702.885201
# model.lp    : 0.1
# model.out_ch: 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.998687:   6: 0.998687; 0.001313*1014.697787= 1.332707;  1.332707/0.998687=  1.334460
0.990989:  24: 0.992293; 0.003460* 581.705643= 2.012850;  2.012850/0.990989=  2.031152
0.971921:  48: 0.980758; 0.005411* 394.496296= 2.134750;  2.134750/0.971921=  2.196424
0.914659:  89: 0.941084; 0.016789* 255.245106= 4.285429;  4.285429/0.914659=  4.685275
0.527702: 247: 0.576938; 0.216547*  95.807179=20.746788; 20.746788/0.527702= 39.315360
0.167146: 417: 0.316743; 0.276498*  38.923814=10.762343; 10.762343/0.167146= 64.388911
0.042783: 555: 0.255964; 0.266937*  15.240360= 4.068211;  4.068211/0.042783= 95.088535
0.010541: 669: 0.246378; 0.259168*   5.394514= 1.398084;  1.398084/0.010541=132.634566
0.002582: 766: 0.244971; 0.256418*   1.692829= 0.434073;  0.434073/0.002582=168.101133
0.000632: 852: 0.244779; 0.255603*   0.477532= 0.122059;  0.122059/0.000632=193.109386
