# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-015-time_uniform.txt
# order     : 1
# steps     : 15
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.94968152  :    0.06760 :   66
# 0.82560641  :    0.13420 :  133
# 0.65688461  :    0.20080 :  199
# 0.47827139  :    0.26740 :  266
# 0.31862485  :    0.33400 :  332
# 0.19420020  :    0.40060 :  399
# 0.10827720  :    0.46720 :  466
# 0.05521875  :    0.53380 :  532
# 0.02575418  :    0.60040 :  599
# 0.01098423  :    0.66700 :  666
# 0.00428348  :    0.73360 :  732
# 0.00152714  :    0.80020 :  799
# 0.00049770  :    0.86680 :  865
# 0.00014825  :    0.93340 :  932
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 6022440050130086097
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000999; loss:493.890189 = 490.834709 + 3.055480
# loss_var    : 1026.424090 => 490.834709
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.991519:  24: 0.991519; 0.008481* 593.509906= 5.033580;  5.033580/0.991519=  5.076635
0.960608:  58: 0.968825; 0.011627* 347.983542= 4.045963;  4.045963/0.960608=  4.211877
0.860234: 117: 0.895509; 0.034609* 204.292980= 7.070383;  7.070383/0.860234=  8.219142
0.712251: 178: 0.827974; 0.038511* 138.226924= 5.323234;  5.323234/0.712251=  7.473818
0.545647: 240: 0.766088; 0.041839*  99.149603= 4.148301;  4.148301/0.545647=  7.602535
0.387080: 302: 0.709396; 0.046295*  72.314001= 3.347786;  3.347786/0.387080=  8.648820
0.254494: 364: 0.657470; 0.052268*  52.307138= 2.734009;  2.734009/0.254494= 10.742936
0.155216: 426: 0.609902; 0.059936*  36.932509= 2.213569;  2.213569/0.155216= 14.261202
0.087906: 487: 0.566344; 0.069350*  25.053939= 1.737491;  1.737491/0.087906= 19.765394
0.046278: 548: 0.526453; 0.080452*  16.074733= 1.293243;  1.293243/0.046278= 27.944957
0.022673: 609: 0.489926; 0.093049*   9.690367= 0.901678;  0.901678/0.022673= 39.768967
0.010350: 670: 0.456491; 0.106846*   5.310884= 0.567449;  0.567449/0.010350= 54.826121
0.004408: 730: 0.425880; 0.121511*   2.658260= 0.323008;  0.323008/0.004408= 73.280239
0.001754: 790: 0.397852; 0.136722*   1.211318= 0.165614;  0.165614/0.001754= 94.438177
0.000653: 850: 0.372227; 0.152182*   0.491450= 0.074790;  0.074790/0.000653=114.573889
