# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-050-logSNR.txt
# order     : 1
# steps     : 50
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99985278  :    0.00139 :    0
# 0.99978334  :    0.00197 :    0
# 0.99968112  :    0.00271 :    1
# 0.99953079  :    0.00369 :    2
# 0.99930942  :    0.00495 :    3
# 0.99898380  :    0.00654 :    5
# 0.99850506  :    0.00853 :    7
# 0.99780113  :    0.01102 :   10
# 0.99676692  :    0.01407 :   13
# 0.99524850  :    0.01780 :   16
# 0.99302185  :    0.02237 :   21
# 0.98976260  :    0.02793 :   26
# 0.98500395  :    0.03468 :   33
# 0.97808242  :    0.04286 :   41
# 0.96806973  :    0.05273 :   51
# 0.95369953  :    0.06460 :   63
# 0.93330741  :    0.07882 :   77
# 0.90483028  :    0.09575 :   94
# 0.86594027  :    0.11573 :  114
# 0.81441766  :    0.13905 :  138
# 0.74883711  :    0.16585 :  164
# 0.66948676  :    0.19611 :  195
# 0.57915610  :    0.22952 :  228
# 0.48319510  :    0.26551 :  264
# 0.38845766  :    0.30332 :  302
# 0.30145997  :    0.34209 :  341
# 0.22672275  :    0.38102 :  380
# 0.16610815  :    0.41944 :  418
# 0.11920083  :    0.45691 :  455
# 0.08420218  :    0.49312 :  492
# 0.05879358  :    0.52795 :  526
# 0.04071138  :    0.56136 :  560
# 0.02802482  :    0.59339 :  592
# 0.01921250  :    0.62410 :  623
# 0.01313375  :    0.65359 :  652
# 0.00896071  :    0.68195 :  680
# 0.00610539  :    0.70927 :  708
# 0.00415609  :    0.73564 :  734
# 0.00282739  :    0.76113 :  760
# 0.00192265  :    0.78582 :  784
# 0.00130704  :    0.80977 :  808
# 0.00088837  :    0.83305 :  832
# 0.00060372  :    0.85570 :  854
# 0.00041025  :    0.87777 :  876
# 0.00027875  :    0.89929 :  898
# 0.00018940  :    0.92032 :  919
# 0.00012869  :    0.94087 :  939
# 0.00008743  :    0.96099 :  959
# 0.00005940  :    0.98069 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 9796724430256785112
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:171.152225 = 153.019128 + 18.133098
# loss_var    : 489.910825 => 153.019128
# model.lp    : 0.1
# model.out_ch: 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999959:   0: 0.999959; 0.000041*1811.061414= 0.074080;  0.074080/0.999959=  0.074083
0.999855:   0: 0.999896; 0.000032*1625.378113= 0.051583;  0.051583/0.999855=  0.051590
0.999716:   1: 0.999860; 0.000023*1429.385573= 0.033449;  0.033449/0.999716=  0.033458
0.999477:   3: 0.999761; 0.000036*1257.675252= 0.045325;  0.045325/0.999477=  0.045349
0.999119:   4: 0.999642; 0.000046*1119.093133= 0.051917;  0.051917/0.999119=  0.051962
0.998555:   7: 0.999435; 0.000070* 990.659072= 0.069010;  0.069010/0.998555=  0.069110
0.997741:  10: 0.999185; 0.000091* 879.567133= 0.079862;  0.079862/0.997741=  0.080042
0.996478:  13: 0.998733; 0.000141* 775.655185= 0.109005;  0.109005/0.996478=  0.109390
0.994617:  18: 0.998133; 0.000198* 683.782479= 0.135482;  0.135482/0.994617=  0.136215
0.991830:  23: 0.997198; 0.000293* 600.710736= 0.176087;  0.176087/0.991830=  0.177537
0.987643:  30: 0.995779; 0.000439* 525.413361= 0.230909;  0.230909/0.987643=  0.233798
0.981584:  37: 0.993865; 0.000619* 458.266820= 0.283800;  0.283800/0.981584=  0.289124
0.972674:  47: 0.990922; 0.000913* 398.510848= 0.363928;  0.363928/0.972674=  0.374152
0.959820:  58: 0.986785; 0.001313* 345.311524= 0.453481;  0.453481/0.959820=  0.472465
0.941524:  72: 0.980938; 0.001874* 298.322416= 0.559012;  0.559012/0.941524=  0.593731
0.916325:  88: 0.973236; 0.002571* 257.212170= 0.661325;  0.661325/0.916325=  0.721714
0.883697: 105: 0.964393; 0.003245* 222.179543= 0.720907;  0.720907/0.883697=  0.815786
0.845143: 124: 0.956372; 0.003601* 194.407233= 0.700055;  0.700055/0.845143=  0.828328
0.801469: 143: 0.948323; 0.003888* 171.292490= 0.665968;  0.665968/0.801469=  0.830934
0.753117: 163: 0.939672; 0.004219* 151.980946= 0.641203;  0.641203/0.753117=  0.851398
0.700678: 183: 0.930371; 0.004602* 134.956753= 0.621122;  0.621122/0.700678=  0.886458
0.646354: 203: 0.922469; 0.004791* 120.691766= 0.578198;  0.578198/0.646354=  0.894553
0.591238: 224: 0.914728; 0.004982* 108.263953= 0.539368;  0.539368/0.591238=  0.912269
0.538177: 243: 0.910255; 0.004843*  97.809228= 0.473722;  0.473722/0.538177=  0.880233
0.484314: 264: 0.899915; 0.005394*  88.164489= 0.475529;  0.475529/0.484314=  0.981861
0.423498: 287: 0.874429; 0.007702*  78.057122= 0.601224;  0.601224/0.423498=  1.419660
0.360440: 314: 0.851101; 0.009851*  68.344995= 0.673275;  0.673275/0.360440=  1.867926
