# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-100-logSNR.txt
# order     : 1
# steps     : 100
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99987864  :    0.00118 :    0
# 0.99985278  :    0.00139 :    0
# 0.99982148  :    0.00165 :    0
# 0.99978334  :    0.00197 :    0
# 0.99973720  :    0.00231 :    1
# 0.99968112  :    0.00271 :    1
# 0.99961323  :    0.00317 :    2
# 0.99953079  :    0.00369 :    2
# 0.99943078  :    0.00428 :    3
# 0.99930942  :    0.00495 :    3
# 0.99916238  :    0.00570 :    4
# 0.99898380  :    0.00654 :    5
# 0.99876750  :    0.00748 :    6
# 0.99850506  :    0.00853 :    7
# 0.99818689  :    0.00971 :    8
# 0.99780113  :    0.01102 :   10
# 0.99733365  :    0.01246 :   11
# 0.99676692  :    0.01407 :   13
# 0.99608016  :    0.01584 :   14
# 0.99524850  :    0.01780 :   16
# 0.99424118  :    0.01998 :   18
# 0.99302185  :    0.02237 :   21
# 0.99154657  :    0.02502 :   24
# 0.98976260  :    0.02793 :   26
# 0.98760682  :    0.03115 :   30
# 0.98500395  :    0.03468 :   33
# 0.98186451  :    0.03858 :   37
# 0.97808242  :    0.04286 :   41
# 0.97353292  :    0.04756 :   46
# 0.96806973  :    0.05273 :   51
# 0.96152347  :    0.05839 :   57
# 0.95369953  :    0.06460 :   63
# 0.94437647  :    0.07140 :   70
# 0.93330741  :    0.07882 :   77
# 0.92022163  :    0.08693 :   85
# 0.90483028  :    0.09575 :   94
# 0.88683462  :    0.10534 :  104
# 0.86594027  :    0.11573 :  114
# 0.84187591  :    0.12696 :  125
# 0.81441778  :    0.13905 :  138
# 0.78341812  :    0.15201 :  151
# 0.74883723  :    0.16585 :  164
# 0.71077335  :    0.18056 :  179
# 0.66948688  :    0.19611 :  195
# 0.62541282  :    0.21245 :  211
# 0.57915610  :    0.22952 :  228
# 0.53146654  :    0.24723 :  246
# 0.48319510  :    0.26551 :  264
# 0.43523529  :    0.28424 :  283
# 0.38845766  :    0.30332 :  302
# 0.34364849  :    0.32263 :  321
# 0.30145997  :    0.34209 :  341
# 0.26238048  :    0.36158 :  360
# 0.22672275  :    0.38102 :  380
# 0.19463222  :    0.40033 :  399
# 0.16610815  :    0.41944 :  418
# 0.14103232  :    0.43832 :  437
# 0.11920083  :    0.45691 :  455
# 0.10035399  :    0.47518 :  474
# 0.08420218  :    0.49312 :  492
# 0.07044641  :    0.51071 :  509
# 0.05879358  :    0.52795 :  526
# 0.04896675  :    0.54483 :  543
# 0.04071138  :    0.56136 :  560
# 0.03379831  :    0.57754 :  576
# 0.02802482  :    0.59339 :  592
# 0.02321389  :    0.60891 :  607
# 0.01921250  :    0.62410 :  623
# 0.01588961  :    0.63900 :  637
# 0.01313375  :    0.65359 :  652
# 0.01085058  :    0.66791 :  666
# 0.00896071  :    0.68195 :  680
# 0.00739754  :    0.69574 :  694
# 0.00610539  :    0.70927 :  708
# 0.00503779  :    0.72257 :  721
# 0.00415609  :    0.73564 :  734
# 0.00342818  :    0.74849 :  747
# 0.00282739  :    0.76113 :  760
# 0.00233164  :    0.77357 :  772
# 0.00192265  :    0.78582 :  784
# 0.00158529  :    0.79788 :  796
# 0.00130704  :    0.80977 :  808
# 0.00107758  :    0.82149 :  820
# 0.00088837  :    0.83305 :  832
# 0.00073236  :    0.84445 :  843
# 0.00060372  :    0.85570 :  854
# 0.00049767  :    0.86680 :  865
# 0.00041025  :    0.87777 :  876
# 0.00033817  :    0.88860 :  887
# 0.00027875  :    0.89929 :  898
# 0.00022978  :    0.90987 :  908
# 0.00018940  :    0.92032 :  919
# 0.00015612  :    0.93065 :  929
# 0.00012869  :    0.94087 :  939
# 0.00010607  :    0.95099 :  949
# 0.00008743  :    0.96099 :  959
# 0.00007207  :    0.97089 :  969
# 0.00005940  :    0.98069 :  979
# 0.00004896  :    0.99039 :  989
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 14408560171201530860
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:88.890630 = 75.238652 + 13.651977
# loss_var    : 259.674151 =>  75.238652
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999973:   0: 0.999973; 0.000027*1835.686745= 0.049820;  0.049820/0.999973=  0.049822
0.999953:   0: 0.999980; 0.000003*1799.763265= 0.004972;  0.004972/0.999953=  0.004972
0.999923:   0: 0.999970; 0.000004*1746.021123= 0.006424;  0.006424/0.999923=  0.006425
0.999887:   0: 0.999964; 0.000003*1681.701874= 0.005759;  0.005759/0.999887=  0.005759
0.999831:   0: 0.999944; 0.000006*1582.242273= 0.008758;  0.008758/0.999831=  0.008759
0.999763:   1: 0.999931; 0.000006*1474.132991= 0.008605;  0.008605/0.999763=  0.008607
0.999695:   1: 0.999932; 0.000004*1409.811060= 0.005966;  0.005966/0.999695=  0.005968
0.999599:   2: 0.999904; 0.000007*1332.247697= 0.008750;  0.008750/0.999599=  0.008753
0.999483:   2: 0.999884; 0.000007*1260.980769= 0.009205;  0.009205/0.999483=  0.009209
0.999321:   3: 0.999837; 0.000011*1188.884190= 0.013230;  0.013230/0.999321=  0.013239
0.999154:   4: 0.999833; 0.000009*1130.545150= 0.010416;  0.010416/0.999154=  0.010425
0.998908:   5: 0.999755; 0.000016*1062.618785= 0.016586;  0.016586/0.998908=  0.016605
0.998623:   7: 0.999714; 0.000017*1002.093711= 0.016642;  0.016642/0.998623=  0.016665
0.998314:   8: 0.999691; 0.000016* 951.788748= 0.014886;  0.014886/0.998314=  0.014911
0.997957:   9: 0.999642; 0.000017* 904.408169= 0.015567;  0.015567/0.997957=  0.015598
0.997457:  11: 0.999499; 0.000027* 850.371310= 0.023364;  0.023364/0.997457=  0.023424
0.996827:  12: 0.999369; 0.000035* 798.818276= 0.027946;  0.027946/0.996827=  0.028035
0.996010:  15: 0.999181; 0.000047* 747.668769= 0.035136;  0.035136/0.996010=  0.035277
0.995009:  17: 0.998994; 0.000057* 699.421872= 0.039533;  0.039533/0.995009=  0.039732
0.993714:  20: 0.998699; 0.000075* 651.723252= 0.049076;  0.049076/0.993714=  0.049386
0.992280:  22: 0.998557; 0.000075* 611.474638= 0.045636;  0.045636/0.992280=  0.045991
0.990379:  25: 0.998084; 0.000106* 569.627557= 0.060542;  0.060542/0.990379=  0.061131
0.988177:  29: 0.997777; 0.000116* 532.765229= 0.061588;  0.061588/0.988177=  0.062325
0.985445:  33: 0.997235; 0.000145* 496.266170= 0.072191;  0.072191/0.985445=  0.073258
0.982002:  37: 0.996506; 0.000188* 461.859030= 0.087010;  0.087010/0.982002=  0.088604
0.977804:  42: 0.995726; 0.000228* 429.550013= 0.098097;  0.098097/0.977804=  0.100323
0.972595:  47: 0.994672; 0.000288* 398.080241= 0.114515;  0.114515/0.972595=  0.117742
0.966299:  53: 0.993527; 0.000345* 368.736751= 0.127137;  0.127137/0.966299=  0.131571
0.958534:  59: 0.991963; 0.000432* 340.989996= 0.147450;  0.147450/0.958534=  0.153828
0.949161:  66: 0.990222; 0.000522* 315.520253= 0.164598;  0.164598/0.949161=  0.173414
0.937950:  74: 0.988188; 0.000623* 291.233847= 0.181433;  0.181433/0.937950=  0.193436
0.924390:  83: 0.985543; 0.000766* 268.261330= 0.205556;  0.205556/0.924390=  0.222369
0.908207:  92: 0.982493; 0.000925* 247.393256= 0.228913;  0.228913/0.908207=  0.252050
0.889077: 103: 0.978937; 0.001108* 227.344554= 0.251872;  0.251872/0.889077=  0.283296
0.866386: 114: 0.974478; 0.001351* 208.740329= 0.282060;  0.282060/0.866386=  0.325559
0.839951: 126: 0.969489; 0.001612* 191.537796= 0.308722;  0.308722/0.839951=  0.367547
0.809214: 140: 0.963406; 0.001946* 174.751615= 0.340129;  0.340129/0.809214=  0.420320
0.774467: 154: 0.957061; 0.002265* 159.802170= 0.361975;  0.361975/0.774467=  0.467385
0.735207: 170: 0.949307; 0.002691* 145.801314= 0.392294;  0.392294/0.735207=  0.533582
0.691552: 186: 0.940622; 0.003171* 132.371452= 0.419754;  0.419754/0.691552=  0.606974
0.643876: 204: 0.931059; 0.003705* 120.202239= 0.445316;  0.445316/0.643876=  0.691618
0.593590: 223: 0.921901; 0.004163* 108.724783= 0.452581;  0.452581/0.593590=  0.762448
0.541741: 242: 0.912652; 0.004614*  98.408913= 0.454019;  0.454019/0.541741=  0.838073
0.489910: 261: 0.904325; 0.004964*  89.137990= 0.442474;  0.442474/0.489910=  0.903173
0.440100: 281: 0.898327; 0.005089*  80.689808= 0.410659;  0.410659/0.440100=  0.933105
0.393468: 300: 0.894044; 0.005082*  73.468758= 0.373363;  0.373363/0.393468=  0.948902
