# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-100-time_uniform.txt
# order     : 1
# steps     : 100
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99780953  :    0.01099 :    9
# 0.99374515  :    0.02098 :   19
# 0.98773104  :    0.03097 :   29
# 0.97980201  :    0.04096 :   39
# 0.97000456  :    0.05095 :   49
# 0.95839578  :    0.06094 :   59
# 0.94504291  :    0.07093 :   69
# 0.93002242  :    0.08092 :   79
# 0.91341996  :    0.09091 :   89
# 0.89532876  :    0.10090 :   99
# 0.87584955  :    0.11089 :  109
# 0.85508835  :    0.12088 :  119
# 0.83315718  :    0.13087 :  129
# 0.81017196  :    0.14086 :  139
# 0.78625154  :    0.15085 :  149
# 0.76151741  :    0.16084 :  159
# 0.73609179  :    0.17083 :  169
# 0.71009684  :    0.18082 :  179
# 0.68365443  :    0.19081 :  189
# 0.65688461  :    0.20080 :  199
# 0.62990409  :    0.21079 :  209
# 0.60282707  :    0.22078 :  219
# 0.57576317  :    0.23077 :  229
# 0.54881668  :    0.24076 :  239
# 0.52208734  :    0.25075 :  249
# 0.49566865  :    0.26074 :  259
# 0.46964699  :    0.27073 :  269
# 0.44410276  :    0.28072 :  279
# 0.41910926  :    0.29071 :  289
# 0.39473221  :    0.30070 :  299
# 0.37103009  :    0.31069 :  309
# 0.34805411  :    0.32068 :  319
# 0.32584825  :    0.33067 :  329
# 0.30444932  :    0.34066 :  339
# 0.28388688  :    0.35065 :  349
# 0.26418364  :    0.36064 :  359
# 0.24535610  :    0.37063 :  369
# 0.22741453  :    0.38062 :  379
# 0.21036287  :    0.39061 :  389
# 0.19420020  :    0.40060 :  399
# 0.17892064  :    0.41059 :  409
# 0.16451302  :    0.42058 :  419
# 0.15096261  :    0.43057 :  429
# 0.13825075  :    0.44056 :  439
# 0.12635562  :    0.45055 :  449
# 0.11525249  :    0.46054 :  459
# 0.10491432  :    0.47053 :  469
# 0.09531191  :    0.48052 :  479
# 0.08641478  :    0.49051 :  489
# 0.07819104  :    0.50050 :  499
# 0.07060788  :    0.51049 :  509
# 0.06363231  :    0.52048 :  519
# 0.05723079  :    0.53047 :  529
# 0.05136989  :    0.54046 :  539
# 0.04601666  :    0.55045 :  549
# 0.04113853  :    0.56044 :  559
# 0.03670358  :    0.57043 :  569
# 0.03268099  :    0.58042 :  579
# 0.02904078  :    0.59041 :  589
# 0.02575418  :    0.60040 :  599
# 0.02279360  :    0.61039 :  609
# 0.02013281  :    0.62038 :  619
# 0.01774685  :    0.63037 :  629
# 0.01561221  :    0.64036 :  639
# 0.01370668  :    0.65035 :  649
# 0.01200952  :    0.66034 :  659
# 0.01050132  :    0.67033 :  669
# 0.00916405  :    0.68032 :  679
# 0.00798096  :    0.69031 :  689
# 0.00693661  :    0.70030 :  699
# 0.00601678  :    0.71029 :  709
# 0.00520841  :    0.72028 :  719
# 0.00449956  :    0.73027 :  729
# 0.00387935  :    0.74026 :  739
# 0.00333788  :    0.75025 :  749
# 0.00286620  :    0.76024 :  759
# 0.00245621  :    0.77023 :  769
# 0.00210062  :    0.78022 :  779
# 0.00179288  :    0.79021 :  789
# 0.00152714  :    0.80020 :  799
# 0.00129816  :    0.81019 :  809
# 0.00110129  :    0.82018 :  819
# 0.00093239  :    0.83017 :  829
# 0.00078780  :    0.84016 :  839
# 0.00066428  :    0.85015 :  849
# 0.00055900  :    0.86014 :  859
# 0.00046946  :    0.87013 :  869
# 0.00039346  :    0.88012 :  879
# 0.00032910  :    0.89011 :  889
# 0.00027471  :    0.90010 :  899
# 0.00022884  :    0.91009 :  909
# 0.00019025  :    0.92008 :  919
# 0.00015784  :    0.93007 :  929
# 0.00013069  :    0.94006 :  939
# 0.00010799  :    0.95005 :  949
# 0.00008906  :    0.96004 :  959
# 0.00007329  :    0.97003 :  969
# 0.00006020  :    0.98002 :  979
# 0.00004934  :    0.99001 :  989
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 1961093374198792304
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000999; loss:72.384952 = 62.143021 + 10.241930
# loss_var    : 220.851140 =>  62.143021
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999490:   2: 0.999490; 0.000510*1265.035537= 0.645112;  0.645112/0.999490=  0.645441
0.997807:   9: 0.998316; 0.000589* 886.371258= 0.522144;  0.522144/0.997807=  0.523292
0.994603:  18: 0.996789; 0.000713* 683.248965= 0.487265;  0.487265/0.994603=  0.489909
0.989475:  27: 0.994844; 0.000860* 553.412127= 0.475712;  0.475712/0.989475=  0.480772
0.982084:  37: 0.992530; 0.001001* 462.560891= 0.463155;  0.463155/0.982084=  0.471605
0.972062:  47: 0.989796; 0.001155* 395.169184= 0.456232;  0.456232/0.972062=  0.469345
0.959075:  59: 0.986639; 0.001316* 342.804229= 0.451067;  0.451067/0.959075=  0.470314
0.943038:  71: 0.983279; 0.001449* 301.433922= 0.436763;  0.436763/0.943038=  0.463145
0.923895:  83: 0.979701; 0.001571* 267.545557= 0.420389;  0.420389/0.923895=  0.455018
0.901388:  96: 0.975639; 0.001725* 239.468536= 0.413115;  0.413115/0.901388=  0.458309
0.875911: 109: 0.971735; 0.001824* 215.894044= 0.393778;  0.393778/0.875911=  0.449564
0.847624: 123: 0.967705; 0.001921* 195.949954= 0.376367;  0.376367/0.847624=  0.444026
0.816668: 137: 0.963479; 0.002026* 178.760805= 0.362202;  0.362202/0.816668=  0.443512
0.783443: 151: 0.959316; 0.002115* 163.314002= 0.345341;  0.345341/0.783443=  0.440799
0.748213: 165: 0.955033; 0.002210* 150.126910= 0.331766;  0.331766/0.748213=  0.443411
0.711886: 179: 0.951448; 0.002238* 138.149967= 0.309233;  0.309233/0.711886=  0.434385
0.674132: 193: 0.946966; 0.002354* 127.604575= 0.300329;  0.300329/0.674132=  0.445505
0.635715: 207: 0.943013; 0.002422* 118.141473= 0.286163;  0.286163/0.635715=  0.450144
0.597261: 221: 0.939511; 0.002460* 109.504351= 0.269349;  0.269349/0.597261=  0.450974
0.559035: 235: 0.935997; 0.002508* 101.873506= 0.255497;  0.255497/0.559035=  0.457032
0.521963: 249: 0.933686; 0.002475*  94.820156= 0.234647;  0.234647/0.521963=  0.449548
0.485369: 263: 0.929892; 0.002566*  88.338804= 0.226647;  0.226647/0.485369=  0.466957
0.449928: 277: 0.926981; 0.002599*  82.305449= 0.213895;  0.213895/0.449928=  0.475398
0.415610: 291: 0.923726; 0.002666*  76.821721= 0.204794;  0.204794/0.415610=  0.492755
0.383091: 304: 0.921757; 0.002652*  71.654776= 0.190021;  0.190021/0.383091=  0.496020
0.352413: 317: 0.919919; 0.002642*  66.977911= 0.176941;  0.176941/0.352413=  0.502084
0.323536: 330: 0.918060; 0.002644*  62.757098= 0.165935;  0.165935/0.323536=  0.512878
0.296332: 343: 0.915917; 0.002674*  58.625509= 0.156774;  0.156774/0.296332=  0.529048
0.271319: 355: 0.915590; 0.002597*  54.930568= 0.142669;  0.142669/0.271319=  0.525837
0.247937: 368: 0.913821; 0.002621*  51.262119= 0.134372;  0.134372/0.247937=  0.541961
0.226549: 380: 0.913739; 0.002549*  48.156902= 0.122772;  0.122772/0.226549=  0.541921
0.206979: 391: 0.913617; 0.002490*  45.124779= 0.112359;  0.112359/0.206979=  0.542851
0.188930: 402: 0.912796; 0.002479*  42.405375= 0.105130;  0.105130/0.188930=  0.556452
0.172448: 414: 0.912760; 0.002429*  39.607279= 0.096205;  0.096205/0.172448=  0.557882
0.157590: 424: 0.913844; 0.002323*  37.458735= 0.087027;  0.087027/0.157590=  0.552239
0.143934: 435: 0.913340; 0.002312*  35.079201= 0.081093;  0.081093/0.143934=  0.563403
0.131532: 445: 0.913836; 0.002250*  33.075473= 0.074429;  0.074429/0.131532=  0.565863
0.120206: 454: 0.913893; 0.002217*  30.971811= 0.068657;  0.068657/0.120206=  0.571159
0.110143: 464: 0.916287; 0.002067*  29.270472= 0.060510;  0.060510/0.110143=  0.549377
0.100942: 473: 0.916466; 0.002036*  27.543927= 0.056082;  0.056082/0.100942=  0.555581
0.092638: 482: 0.917734; 0.001954*  25.973682= 0.050760;  0.050760/0.092638=  0.547938
0.085046: 491: 0.918045; 0.001922*  24.497769= 0.047093;  0.047093/0.085046=  0.553734
0.078084: 499: 0.918133; 0.001903*  23.151710= 0.044056;  0.044056/0.078084=  0.564215
0.071748: 507: 0.918857; 0.001855*  21.794279= 0.040434;  0.040434/0.071748=  0.563563
0.066015: 515: 0.920102; 0.001786*  20.598752= 0.036788;  0.036788/0.066015=  0.557271
0.060846: 523: 0.921698; 0.001704*  19.548067= 0.033308;  0.033308/0.060846=  0.547420
0.056026: 531: 0.920778; 0.001736*  18.445169= 0.032017;  0.032017/0.056026=  0.571466
0.051618: 539: 0.921326; 0.001703*  17.330445= 0.029514;  0.029514/0.051618=  0.571773
0.047550: 546: 0.921190; 0.001701*  16.421382= 0.027939;  0.027939/0.047550=  0.587580
0.043810: 553: 0.921356; 0.001687*  15.455126= 0.026076;  0.026076/0.043810=  0.595202
0.040416: 561: 0.922519; 0.001631*  14.621647= 0.023841;  0.023841/0.040416=  0.589902
0.037315: 567: 0.923276; 0.001593*  13.861991= 0.022080;  0.022080/0.037315=  0.591715
0.034478: 574: 0.923977; 0.001558*  13.064910= 0.020361;  0.020361/0.034478=  0.590548
0.031904: 581: 0.925337; 0.001498*  12.369845= 0.018529;  0.018529/0.031904=  0.580778
0.029506: 588: 0.924840; 0.001514*  11.708454= 0.017731;  0.017731/0.029506=  0.600938
0.027340: 594: 0.926582; 0.001440*  11.061193= 0.015932;  0.015932/0.027340=  0.582726
0.025313: 600: 0.925879; 0.001465*  10.410781= 0.015256;  0.015256/0.025313=  0.602695
0.023474: 606: 0.927343; 0.001404*   9.874243= 0.013866;  0.013866/0.023474=  0.590678
0.021780: 613: 0.927840; 0.001382*   9.338568= 0.012908;  0.012908/0.021780=  0.592645
0.020212: 619: 0.927987; 0.001374*   8.853486= 0.012166;  0.012166/0.020212=  0.601946
