# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-015-logSNR.txt
# order     : 2
# steps     : 15
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99888092  :    0.00701 :    6
# 0.99626458  :    0.01538 :   14
# 0.98760682  :    0.03115 :   30
# 0.95969546  :    0.05989 :   58
# 0.87676746  :    0.11043 :  109
# 0.68008983  :    0.19215 :  191
# 0.38845789  :    0.30332 :  302
# 0.15952268  :    0.42419 :  423
# 0.05366839  :    0.53643 :  535
# 0.01666312  :    0.63530 :  634
# 0.00503779  :    0.72257 :  721
# 0.00151062  :    0.80087 :  799
# 0.00045185  :    0.87230 :  871
# 0.00013506  :    0.93833 :  937
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 15593275163117999213
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:2533.802555 = 2532.091459 + 1.711097
# loss_var    : 5557.448491 => 2532.091459
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.997773:  10: 0.997773; 0.002227*1765.739517= 3.932245;  3.932245/0.997773=  3.941022
0.992599:  22: 0.994815; 0.0     *   0.0     = 0.0     ;  0.0     /0.992599=  0.0     
0.984450:  34: 0.991790; 0.006057*1105.103245= 6.693404;  6.693404/0.984450=  6.799131
0.935499:  76: 0.950276; 0.0     *   0.0     = 0.0     ;  0.0     /0.935499=  0.0     
0.935273:  76: 0.999759; 0.017654* 572.958696=10.115034; 10.115034/0.935273= 10.815056
0.818987: 136: 0.875666; 0.0     *   0.0     = 0.0     ;  0.0     /0.818987=  0.0     
0.549687: 239: 0.671179; 0.226586* 279.905660=63.422730; 63.422730/0.549687=115.379642
0.280698: 351: 0.510651; 0.0     *   0.0     = 0.0     ;  0.0     /0.280698=  0.0     
0.122504: 452: 0.436427; 0.384344*  87.699223=33.706675; 33.706675/0.122504=275.146829
0.050285: 541: 0.410479; 0.0     *   0.0     = 0.0     ;  0.0     /0.050285=  0.0     
0.020231: 618: 0.402328; 0.371069*  25.879949= 9.603252;  9.603252/0.020231=474.674538
0.008090: 688: 0.399853; 0.0     *   0.0     = 0.0     ;  0.0     /0.008090=  0.0     
0.003229: 751: 0.399113; 0.363564*   6.416768= 2.332908;  2.332908/0.003229=722.567347
0.001288: 809: 0.398901; 0.0     *   0.0     = 0.0     ;  0.0     /0.001288=  0.0     
0.000514: 863: 0.398828; 0.361830*   1.309963= 0.473983;  0.473983/0.000514=922.767895
