# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-015-time_quadratic.txt
# order     : 2
# steps     : 15
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99831408  :    0.00925 :    8
# 0.99106145  :    0.02584 :   24
# 0.97020745  :    0.05076 :   49
# 0.92504120  :    0.08402 :   83
# 0.84484202  :    0.12561 :  124
# 0.72390133  :    0.17554 :  174
# 0.56756419  :    0.23380 :  232
# 0.39544648  :    0.30040 :  299
# 0.23678841  :    0.37534 :  374
# 0.11733688  :    0.45861 :  457
# 0.04613604  :    0.55022 :  549
# 0.01374105  :    0.65016 :  649
# 0.00294653  :    0.75844 :  757
# 0.00043045  :    0.87505 :  874
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 15440597051755731606
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000600; loss:3461.746558 = 3457.509961 + 4.236598
# loss_var    : 10002.595149 => 3457.509961
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.996684:  13: 0.996684; 0.003316*1578.275247= 5.232858;  5.232858/0.996684=  5.250265
0.982550:  36: 0.985818; 0.0     *   0.0     = 0.0     ;  0.0     /0.982550=  0.0     
0.980699:  38: 0.998116; 0.006693* 917.584813= 6.141271;  6.141271/0.980699=  6.262135
0.941902:  72: 0.960439; 0.0     *   0.0     = 0.0     ;  0.0     /0.941902=  0.0     
0.940655:  72: 0.998677; 0.011566* 595.815871= 6.891390;  6.891390/0.940655=  7.326160
0.899999:  97: 0.956779; 0.0     *   0.0     = 0.0     ;  0.0     /0.899999=  0.0     
0.795587: 145: 0.883986; 0.052022* 406.773076=21.161184; 21.161184/0.795587= 26.598207
0.633850: 208: 0.796708; 0.0     *   0.0     = 0.0     ;  0.0     /0.633850=  0.0     
0.442912: 280: 0.698764; 0.167316* 198.815799=33.264991; 33.264991/0.442912= 75.105228
0.263761: 359: 0.595516; 0.0     *   0.0     = 0.0     ;  0.0     /0.263761=  0.0     
0.130082: 446: 0.493180; 0.278996*  86.639034=24.171920; 24.171920/0.130082=185.820915
0.051750: 538: 0.397829; 0.0     *   0.0     = 0.0     ;  0.0     /0.051750=  0.0     
0.016272: 636: 0.314430; 0.438185*  24.882736=10.903251; 10.903251/0.016272=670.068350
0.004004: 737: 0.246084; 0.0     *   0.0     = 0.0     ;  0.0     /0.004004=  0.0     
0.000751: 841: 0.187524; 0.618679*   3.011287= 1.863021;  1.863021/0.000751=2481.078700
