# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-015-time_uniform.txt
# order     : 2
# steps     : 15
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.94968152  :    0.06760 :   66
# 0.82560641  :    0.13420 :  133
# 0.65688461  :    0.20080 :  199
# 0.47827139  :    0.26740 :  266
# 0.31862485  :    0.33400 :  332
# 0.19420020  :    0.40060 :  399
# 0.10827720  :    0.46720 :  466
# 0.05521875  :    0.53380 :  532
# 0.02575418  :    0.60040 :  599
# 0.01098423  :    0.66700 :  666
# 0.00428348  :    0.73360 :  732
# 0.00152714  :    0.80020 :  799
# 0.00049770  :    0.86680 :  865
# 0.00014825  :    0.93340 :  932
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 1039653841951501706
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000999; loss:2186.614803 = 2183.716433 + 2.898370
# loss_var    : 4747.594170 => 2183.716433
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.968055:  51: 0.968055; 0.031945* 752.523627=24.039267; 24.039267/0.968055= 24.832540
0.938354:  74: 0.969319; 0.0     *   0.0     = 0.0     ;  0.0     /0.938354=  0.0     
0.840410: 126: 0.895621; 0.054268* 483.784996=26.254215; 26.254215/0.840410= 31.239768
0.695922: 185: 0.828074; 0.0     *   0.0     = 0.0     ;  0.0     /0.695922=  0.0     
0.533207: 245: 0.766188; 0.133239* 230.494027=30.710778; 30.710778/0.533207= 57.596367
0.378301: 306: 0.709483; 0.0     *   0.0     = 0.0     ;  0.0     /0.378301=  0.0     
0.248750: 367: 0.657544; 0.160074* 122.381677=19.590101; 19.590101/0.248750= 78.754270
0.151729: 428: 0.609967; 0.0     *   0.0     = 0.0     ;  0.0     /0.151729=  0.0     
0.085939: 490: 0.566396; 0.199461*  61.070182=12.181149; 12.181149/0.085939=141.742352
0.045246: 550: 0.526497; 0.0     *   0.0     = 0.0     ;  0.0     /0.045246=  0.0     
0.022169: 611: 0.489962; 0.253278*  25.324420= 6.414108;  6.414108/0.022169=289.327571
0.010120: 672: 0.456513; 0.0     *   0.0     = 0.0     ;  0.0     /0.010120=  0.0     
0.004310: 732: 0.425900; 0.315638*   7.834812= 2.472962;  2.472962/0.004310=573.732760
0.001715: 791: 0.397866; 0.0     *   0.0     = 0.0     ;  0.0     /0.001715=  0.0     
0.000638: 851: 0.372241; 0.379050*   1.661366= 0.629741;  0.629741/0.000638=986.490807
