# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-020-time_uniform.txt
# order     : 2
# steps     : 20
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.97000456  :    0.05095 :   49
# 0.89532876  :    0.10090 :   99
# 0.78625154  :    0.15085 :  149
# 0.65688461  :    0.20080 :  199
# 0.52208734  :    0.25075 :  249
# 0.39473227  :    0.30070 :  299
# 0.28388703  :    0.35065 :  349
# 0.19420029  :    0.40060 :  399
# 0.12635562  :    0.45055 :  449
# 0.07819104  :    0.50050 :  499
# 0.04601666  :    0.55045 :  549
# 0.02575418  :    0.60040 :  599
# 0.01370670  :    0.65035 :  649
# 0.00693662  :    0.70030 :  699
# 0.00333788  :    0.75025 :  749
# 0.00152714  :    0.80020 :  799
# 0.00066428  :    0.85015 :  849
# 0.00027471  :    0.90010 :  899
# 0.00010799  :    0.95005 :  949
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 6322617688019484412
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000999; loss:1586.764279 = 1581.021078 + 5.743201
# loss_var    : 3785.837377 => 1581.021078
# model.lp    : 0.1
# model.out_ch: 20
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.976052:  44: 0.976052; 0.0     *   0.0     = 0.0     ;  0.0     /0.976052=  0.0     
0.976015:  44: 0.999962; 0.023985* 835.738817=20.045549; 20.045549/0.976015= 20.538166
0.954669:  62: 0.978130; 0.0     *   0.0     = 0.0     ;  0.0     /0.954669=  0.0     
0.893037: 101: 0.935441; 0.032008* 560.432108=17.938525; 17.938525/0.893037= 20.087097
0.799065: 144: 0.894772; 0.0     *   0.0     = 0.0     ;  0.0     /0.799065=  0.0     
0.684039: 189: 0.856049; 0.076104* 300.503481=22.869503; 22.869503/0.684039= 33.433032
0.560346: 235: 0.819172; 0.0     *   0.0     = 0.0     ;  0.0     /0.560346=  0.0     
0.439345: 281: 0.784061; 0.088974* 182.620514=16.248503; 16.248503/0.439345= 36.983469
0.329786: 327: 0.750632; 0.0     *   0.0     = 0.0     ;  0.0     /0.329786=  0.0     
0.237052: 374: 0.718805; 0.104629* 113.432757=11.868327; 11.868327/0.237052= 50.066331
0.163211: 420: 0.688504; 0.0     *   0.0     = 0.0     ;  0.0     /0.163211=  0.0     
0.107664: 466: 0.659661; 0.126722*  67.037787= 8.495141;  8.495141/0.107664= 78.904080
0.068066: 513: 0.632203; 0.0     *   0.0     = 0.0     ;  0.0     /0.068066=  0.0     
0.041252: 559: 0.606069; 0.155574*  35.996314= 5.600100;  5.600100/0.041252=135.751908
0.023976: 605: 0.581190; 0.0     *   0.0     = 0.0     ;  0.0     /0.023976=  0.0     
0.013367: 651: 0.557512; 0.190036*  16.519666= 3.139327;  3.139327/0.013367=234.862868
0.007151: 697: 0.534977; 0.0     *   0.0     = 0.0     ;  0.0     /0.007151=  0.0     
0.003672: 742: 0.513542; 0.228032*   6.264209= 1.428440;  1.428440/0.003672=388.980842
0.001811: 788: 0.493101; 0.0     *   0.0     = 0.0     ;  0.0     /0.001811=  0.0     
0.000858: 834: 0.473736; 0.267431*   1.864998= 0.498759;  0.498759/0.000858=581.413285
