# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-050-time_quadratic.txt
# order     : 2
# steps     : 50
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99969620  :    0.00260 :    1
# 0.99930996  :    0.00495 :    3
# 0.99862993  :    0.00805 :    7
# 0.99751961  :    0.01190 :   10
# 0.99580753  :    0.01650 :   15
# 0.99329579  :    0.02185 :   20
# 0.98974973  :    0.02795 :   26
# 0.98490953  :    0.03481 :   33
# 0.97849500  :    0.04241 :   41
# 0.97020745  :    0.05076 :   49
# 0.95973396  :    0.05986 :   58
# 0.94675821  :    0.06971 :   68
# 0.93097502  :    0.08032 :   79
# 0.91209573  :    0.09167 :   90
# 0.88986635  :    0.10377 :  102
# 0.86408037  :    0.11662 :  115
# 0.83459920  :    0.13023 :  129
# 0.80136335  :    0.14458 :  143
# 0.76441401  :    0.15969 :  158
# 0.72390133  :    0.17554 :  174
# 0.68009883  :    0.19214 :  191
# 0.63340271  :    0.20950 :  208
# 0.58433783  :    0.22760 :  226
# 0.53354198  :    0.24646 :  245
# 0.48175344  :    0.26606 :  265
# 0.42977899  :    0.28642 :  285
# 0.37847048  :    0.30752 :  306
# 0.32867709  :    0.32938 :  328
# 0.28120852  :    0.35198 :  350
# 0.23678841  :    0.37534 :  374
# 0.19602349  :    0.39945 :  398
# 0.15936618  :    0.42430 :  423
# 0.12709635  :    0.44991 :  448
# 0.09931426  :    0.47626 :  475
# 0.07594710  :    0.50337 :  502
# 0.05676719  :    0.53123 :  530
# 0.04142060  :    0.55984 :  558
# 0.02946457  :    0.58919 :  588
# 0.02040645  :    0.61930 :  618
# 0.01374107  :    0.65016 :  649
# 0.00898348  :    0.68177 :  680
# 0.00569389  :    0.71413 :  713
# 0.00349358  :    0.74723 :  746
# 0.00207191  :    0.78109 :  780
# 0.00118584  :    0.81570 :  814
# 0.00065396  :    0.85106 :  850
# 0.00034693  :    0.88717 :  886
# 0.00017675  :    0.92403 :  923
# 0.00008633  :    0.96164 :  960
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 10547849202969323217
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:915.560863 = 866.600882 + 48.959981
# loss_var    : 2785.672586 => 866.600882
# model.lp    : 0.1
# model.out_ch: 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999703:   1: 0.999703; 0.0     *   0.0     = 0.0     ;  0.0     /0.999703=  0.0     
0.999683:   1: 0.999980; 0.000317*2815.288204= 0.893719;  0.893719/0.999683=  0.894002
0.998773:   6: 0.999090; 0.0     *   0.0     = 0.0     ;  0.0     /0.998773=  0.0     
0.998631:   7: 0.999858; 0.000368*2036.336043= 0.749886;  0.749886/0.998631=  0.750914
0.996736:  13: 0.998102; 0.0     *   0.0     = 0.0     ;  0.0     /0.996736=  0.0     
0.996543:  13: 0.999807; 0.000477*1572.381188= 0.749880;  0.749880/0.996543=  0.752482
0.993674:  20: 0.997122; 0.0     *   0.0     = 0.0     ;  0.0     /0.993674=  0.0     
0.993201:  21: 0.999524; 0.000564*1286.470226= 0.725991;  0.725991/0.993201=  0.730961
0.989562:  27: 0.996336; 0.0     *   0.0     = 0.0     ;  0.0     /0.989562=  0.0     
0.988403:  28: 0.998829; 0.000647*1090.780707= 0.705768;  0.705768/0.988403=  0.714049
0.982377:  36: 0.993903; 0.0     *   0.0     = 0.0     ;  0.0     /0.982377=  0.0     
0.981716:  37: 0.999328; 0.000778* 924.502940= 0.719212;  0.719212/0.981716=  0.732607
0.973836:  46: 0.991973; 0.0     *   0.0     = 0.0     ;  0.0     /0.973836=  0.0     
0.973013:  47: 0.999155; 0.000880* 805.460826= 0.708604;  0.708604/0.973013=  0.728257
0.963027:  56: 0.989737; 0.0     *   0.0     = 0.0     ;  0.0     /0.963027=  0.0     
0.962064:  56: 0.999000; 0.000987* 710.042913= 0.700977;  0.700977/0.962064=  0.728618
0.949724:  66: 0.987173; 0.0     *   0.0     = 0.0     ;  0.0     /0.949724=  0.0     
0.948697:  67: 0.998918; 0.001095* 631.193438= 0.691083;  0.691083/0.948697=  0.728456
0.933630:  77: 0.984119; 0.0     *   0.0     = 0.0     ;  0.0     /0.933630=  0.0     
0.932516:  78: 0.998807; 0.001240* 565.004502= 0.700582;  0.700582/0.932516=  0.751281
0.914741:  89: 0.980938; 0.0     *   0.0     = 0.0     ;  0.0     /0.914741=  0.0     
0.913463:  89: 0.998603; 0.001374* 508.879829= 0.699023;  0.699023/0.913463=  0.765245
0.892993: 101: 0.977590; 0.0     *   0.0     = 0.0     ;  0.0     /0.892993=  0.0     
0.891516: 101: 0.998346; 0.001502* 460.693750= 0.691893;  0.691893/0.891516=  0.776086
0.888659: 103: 0.996796; 0.0     *   0.0     = 0.0     ;  0.0     /0.888659=  0.0     
0.869207: 113: 0.978110; 0.001327* 437.951059= 0.581261;  0.581261/0.869207=  0.668725
0.852247: 121: 0.980488; 0.0     *   0.0     = 0.0     ;  0.0     /0.852247=  0.0     
0.825236: 133: 0.968307; 0.004311* 381.771670= 1.645930;  1.645930/0.825236=  1.994495
0.788526: 148: 0.955515; 0.0     *   0.0     = 0.0     ;  0.0     /0.788526=  0.0     
0.742775: 167: 0.941979; 0.012224* 313.678308= 3.834402;  3.834402/0.742775=  5.162267
0.689139: 187: 0.927789; 0.0     *   0.0     = 0.0     ;  0.0     /0.689139=  0.0     
0.629147: 210: 0.912948; 0.020222* 248.633894= 5.027956;  5.027956/0.629147=  7.991697
0.564639: 233: 0.897467; 0.0     *   0.0     = 0.0     ;  0.0     /0.564639=  0.0     
0.497656: 258: 0.881369; 0.027939* 193.344498= 5.401853;  5.401853/0.497656= 10.854597
0.430313: 285: 0.864680; 0.0     *   0.0     = 0.0     ;  0.0     /0.430313=  0.0     
