# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-010-logSNR.txt
# order     : 3
# steps     : 10
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.98760682  :    0.03115 :   30
# 0.94089365  :    0.07380 :   72
# 0.76075929  :    0.16114 :  160
# 0.38845789  :    0.30332 :  302
# 0.11260092  :    0.46303 :  462
# 0.02472051  :    0.60377 :  602
# 0.00503779  :    0.72257 :  721
# 0.00101042  :    0.82536 :  824
# 0.00020200  :    0.91685 :  915
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 2760962237659595763
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:9319.096904 = 9316.920853 + 2.176052
# loss_var    : 28053.584215 => 9316.920853
# model.lp    : 0.1
# model.out_ch: 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999640:   2: 0.999640; 0.000360*1357.719303= 0.488501;  0.488501/0.999640=  0.488677
0.998352:   8: 0.998711; 0.000468* 957.157164= 0.448251;  0.448251/0.998352=  0.448991
0.907047:  93: 0.908544; 0.070855* 246.108762=17.438126; 17.438126/0.907047= 19.225169
0.553856: 237: 0.610615; 0.184641* 100.655386=18.585125; 18.585125/0.553856= 33.555850
0.215929: 386: 0.389865; 0.0     *   0.0     = 0.0     ;  0.0     /0.215929=  0.0     
0.068998: 511: 0.319540; 0.0     *   0.0     = 0.0     ;  0.0     /0.068998=  0.0     
0.020961: 616: 0.303789; 0.738781*  76.958854=56.855758; 56.855758/0.020961=2712.468371
0.006300: 706: 0.300567; 0.0     *   0.0     = 0.0     ;  0.0     /0.006300=  0.0     
0.001890: 785: 0.299917; 0.0     *   0.0     = 0.0     ;  0.0     /0.001890=  0.0     
0.000566: 858: 0.299802; 0.700659*   5.296255= 3.710871;  3.710871/0.000566=6550.733795
