# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-015-logSNR.txt
# order     : 3
# steps     : 15
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99749959  :    0.01196 :   10
# 0.98760682  :    0.03115 :   30
# 0.94089365  :    0.07380 :   72
# 0.84471387  :    0.12567 :  124
# 0.65021044  :    0.20328 :  202
# 0.38845780  :    0.30332 :  302
# 0.17835049  :    0.41097 :  409
# 0.06905308  :    0.51264 :  511
# 0.02472051  :    0.60377 :  602
# 0.00858723  :    0.68504 :  684
# 0.00295111  :    0.75834 :  757
# 0.00101042  :    0.82536 :  824
# 0.00034551  :    0.88740 :  886
# 0.00011809  :    0.94538 :  944
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 1430703337804258531
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:5902.580749 = 5900.643420 + 1.937328
# loss_var    : 13458.434035 => 5900.643420
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.995002:  17: 0.995002; 0.0     *   0.0     = 0.0     ;  0.0     /0.995002=  0.0     
0.975287:  44: 0.980185; 0.0     *   0.0     = 0.0     ;  0.0     /0.975287=  0.0     
0.944672:  70: 0.968610; 0.055328*1417.446078=78.423977; 78.423977/0.944672= 83.017121
0.942530:  71: 0.997732; 0.0     *   0.0     = 0.0     ;  0.0     /0.942530=  0.0     
0.819748: 135: 0.869732; 0.0     *   0.0     = 0.0     ;  0.0     /0.819748=  0.0     
0.571716: 231: 0.697429; 0.222262* 584.708284=129.958322; 129.958322/0.571716=227.312560
0.319657: 332: 0.559119; 0.0     *   0.0     = 0.0     ;  0.0     /0.319657=  0.0     
0.155729: 425: 0.487174; 0.0     *   0.0     = 0.0     ;  0.0     /0.155729=  0.0     
0.071322: 508: 0.457990; 0.536604* 120.748104=64.793915; 64.793915/0.071322=908.467808
0.031907: 581: 0.447371; 0.0     *   0.0     = 0.0     ;  0.0     /0.031907=  0.0     
0.014156: 646: 0.443660; 0.0     *   0.0     = 0.0     ;  0.0     /0.014156=  0.0     
0.006262: 706: 0.442384; 0.505959*  22.687911=11.479147; 11.479147/0.006262=1833.019688
0.002768: 761: 0.441942; 0.0     *   0.0     = 0.0     ;  0.0     /0.002768=  0.0     
0.001223: 812: 0.441783; 0.0     *   0.0     = 0.0     ;  0.0     /0.001223=  0.0     
0.000540: 861: 0.441772; 0.499796*   3.078846= 1.538796;  1.538796/0.000540=2848.826243
