# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-015-time_uniform.txt
# order     : 3
# steps     : 15
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.94968152  :    0.06760 :   66
# 0.82560641  :    0.13420 :  133
# 0.65688461  :    0.20080 :  199
# 0.47827139  :    0.26740 :  266
# 0.31862476  :    0.33400 :  333
# 0.19420020  :    0.40060 :  399
# 0.10827720  :    0.46720 :  466
# 0.05521875  :    0.53380 :  532
# 0.02575418  :    0.60040 :  599
# 0.01098423  :    0.66700 :  666
# 0.00428348  :    0.73360 :  732
# 0.00152714  :    0.80020 :  799
# 0.00049770  :    0.86680 :  865
# 0.00014825  :    0.93340 :  932
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 14184232293777549645
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000400; loss:5927.247091 = 5924.433697 + 2.813393
# loss_var    : 15585.066499 => 5924.433697
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.955955:  61: 0.955955; 0.0     *   0.0     = 0.0     ;  0.0     /0.955955=  0.0     
0.926635:  82: 0.969329; 0.0     *   0.0     = 0.0     ;  0.0     /0.926635=  0.0     
0.829919: 131: 0.895627; 0.170081* 790.452284=134.441188; 134.441188/0.829919=161.993213
0.687235: 188: 0.828075; 0.0     *   0.0     = 0.0     ;  0.0     /0.687235=  0.0     
0.526552: 248: 0.766190; 0.0     *   0.0     = 0.0     ;  0.0     /0.526552=  0.0     
0.373581: 308: 0.709486; 0.264988* 297.109808=78.730542; 78.730542/0.373581=210.745336
0.245647: 369: 0.657546; 0.0     *   0.0     = 0.0     ;  0.0     /0.245647=  0.0     
0.149837: 430: 0.609969; 0.0     *   0.0     = 0.0     ;  0.0     /0.149837=  0.0     
0.084867: 491: 0.566396; 0.335696* 111.507408=37.432627; 37.432627/0.084867=441.073500
0.044682: 552: 0.526497; 0.0     *   0.0     = 0.0     ;  0.0     /0.044682=  0.0     
0.021893: 612: 0.489962; 0.0     *   0.0     = 0.0     ;  0.0     /0.021893=  0.0     
0.009994: 672: 0.456516; 0.444498*  30.249921=13.446026; 13.446026/0.009994=1345.366327
0.004257: 733: 0.425900; 0.0     *   0.0     = 0.0     ;  0.0     /0.004257=  0.0     
0.001694: 792: 0.397869; 0.0     *   0.0     = 0.0     ;  0.0     /0.001694=  0.0     
0.000630: 852: 0.372242; 0.562187*   4.222211= 2.373671;  2.373671/0.000630=3765.255322
