# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-025-time_quadratic.txt
# order     : 3
# steps     : 25
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99930996  :    0.00495 :    3
# 0.99751961  :    0.01190 :   10
# 0.99329579  :    0.02185 :   20
# 0.98490953  :    0.03481 :   33
# 0.97020745  :    0.05076 :   49
# 0.94675821  :    0.06971 :   68
# 0.91209573  :    0.09167 :   90
# 0.86408037  :    0.11662 :  115
# 0.80136335  :    0.14458 :  143
# 0.72390139  :    0.17554 :  174
# 0.63340271  :    0.20950 :  208
# 0.53354216  :    0.24646 :  245
# 0.42977926  :    0.28642 :  285
# 0.32867709  :    0.32938 :  328
# 0.23678841  :    0.37534 :  374
# 0.15936618  :    0.42430 :  423
# 0.09931426  :    0.47626 :  475
# 0.05676719  :    0.53123 :  530
# 0.02946457  :    0.58919 :  588
# 0.01374107  :    0.65016 :  649
# 0.00569389  :    0.71413 :  713
# 0.00207191  :    0.78109 :  780
# 0.00065396  :    0.85106 :  850
# 0.00017675  :    0.92403 :  923
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 17282121041852200620
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:5906.740439 = 5900.201782 + 6.538657
# loss_var    : 16205.373300 => 5900.201782
# model.lp    : 0.1
# model.out_ch: 25
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.998802:   6: 0.998802; 0.001198*1039.024289= 1.244430;  1.244430/0.998802=  1.245923
0.995303:  16: 0.996496; 0.001155* 712.072320= 0.822655;  0.822655/0.995303=  0.826538
0.987039:  30: 0.991697; 0.002079* 516.579835= 1.073945;  1.073945/0.987039=  1.088047
0.978831:  41: 0.991684; 0.001032* 436.583116= 0.450513;  0.450513/0.978831=  0.460256
0.977348:  42: 0.998485; 0.0     *   0.0     = 0.0     ;  0.0     /0.977348=  0.0     
0.975996:  44: 0.998617; 0.0     *   0.0     = 0.0     ;  0.0     /0.975996=  0.0     
0.974597:  45: 0.998567; 0.000202*1253.482533= 0.252786;  0.252786/0.974597=  0.259375
0.973010:  47: 0.998372; 0.0     *   0.0     = 0.0     ;  0.0     /0.973010=  0.0     
0.971436:  48: 0.998382; 0.0     *   0.0     = 0.0     ;  0.0     /0.971436=  0.0     
0.969996:  49: 0.998518; 0.000202*1177.788014= 0.237913;  0.237913/0.969996=  0.245272
0.945721:  69: 0.974975; 0.0     *   0.0     = 0.0     ;  0.0     /0.945721=  0.0     
0.891188: 102: 0.942337; 0.0     *   0.0     = 0.0     ;  0.0     /0.891188=  0.0     
0.806983: 141: 0.905514; 0.079154* 710.557453=56.243411; 56.243411/0.806983= 69.695899
0.697839: 184: 0.864751; 0.0     *   0.0     = 0.0     ;  0.0     /0.697839=  0.0     
0.572522: 230: 0.820422; 0.0     *   0.0     = 0.0     ;  0.0     /0.572522=  0.0     
0.442576: 280: 0.773027; 0.177454* 319.580326=56.710650; 56.710650/0.442576=128.137768
0.320061: 332: 0.723178; 0.0     *   0.0     = 0.0     ;  0.0     /0.320061=  0.0     
0.214949: 386: 0.671587; 0.0     *   0.0     = 0.0     ;  0.0     /0.214949=  0.0     
0.133061: 443: 0.619038; 0.272188* 141.840770=38.607368; 38.607368/0.133061=290.146861
0.075360: 503: 0.566356; 0.0     *   0.0     = 0.0     ;  0.0     /0.075360=  0.0     
0.038763: 564: 0.514367; 0.0     *   0.0     = 0.0     ;  0.0     /0.038763=  0.0     
0.017981: 628: 0.463881; 0.420800*  44.906465=18.896635; 18.896635/0.017981=1050.904727
0.007474: 694: 0.415629; 0.0     *   0.0     = 0.0     ;  0.0     /0.007474=  0.0     
0.002767: 761: 0.370276; 0.0     *   0.0     = 0.0     ;  0.0     /0.002767=  0.0     
0.000909: 830: 0.328345; 0.603393*   6.561275= 3.959029;  3.959029/0.000909=4357.191118
