# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-025-time_uniform.txt
# order     : 3
# steps     : 25
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.97980201  :    0.04096 :   39
# 0.93002242  :    0.08092 :   79
# 0.85508829  :    0.12088 :  119
# 0.76151741  :    0.16084 :  159
# 0.65688461  :    0.20080 :  199
# 0.54881668  :    0.24076 :  239
# 0.44410276  :    0.28072 :  279
# 0.34805417  :    0.32068 :  319
# 0.26418364  :    0.36064 :  359
# 0.19420020  :    0.40060 :  399
# 0.13825075  :    0.44056 :  439
# 0.09531187  :    0.48052 :  479
# 0.06363226  :    0.52048 :  519
# 0.04113851  :    0.56044 :  559
# 0.02575416  :    0.60040 :  599
# 0.01561221  :    0.64036 :  639
# 0.00916406  :    0.68032 :  679
# 0.00520841  :    0.72028 :  719
# 0.00286620  :    0.76024 :  759
# 0.00152714  :    0.80020 :  799
# 0.00078780  :    0.84016 :  839
# 0.00039346  :    0.88012 :  879
# 0.00019025  :    0.92008 :  919
# 0.00008906  :    0.96004 :  959
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 5534745223858665847
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000800; loss:2795.310730 = 2784.478351 + 10.832379
# loss_var    : 7813.606698 => 2784.478351
# model.lp    : 0.1
# model.out_ch: 25
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.995661:  15: 0.995661; 0.004339* 728.988401= 3.163285;  3.163285/0.995661=  3.177071
0.981344:  38: 0.985621; 0.005068* 456.239940= 2.312205;  2.312205/0.981344=  2.356162
0.954300:  63: 0.972442; 0.006254* 328.384680= 2.053762;  2.053762/0.954300=  2.152114
0.912567:  90: 0.956269; 0.007507* 252.403318= 1.894722;  1.894722/0.912567=  2.076254
0.878425: 108: 0.962586; 0.0     *   0.0     = 0.0     ;  0.0     /0.878425=  0.0     
0.821742: 134: 0.935472; 0.0     *   0.0     = 0.0     ;  0.0     /0.821742=  0.0     
0.747119: 165: 0.909189; 0.055378* 548.911938=30.397873; 30.397873/0.747119= 40.686787
0.660241: 198: 0.883716; 0.0     *   0.0     = 0.0     ;  0.0     /0.660241=  0.0     
0.567161: 232: 0.859021; 0.0     *   0.0     = 0.0     ;  0.0     /0.567161=  0.0     
0.473628: 268: 0.835086; 0.105707* 314.009526=33.193023; 33.193023/0.473628= 70.082472
0.384534: 303: 0.811890; 0.0     *   0.0     = 0.0     ;  0.0     /0.384534=  0.0     
0.303553: 340: 0.789406; 0.0     *   0.0     = 0.0     ;  0.0     /0.303553=  0.0     
0.233012: 376: 0.767614; 0.134614* 180.700936=24.324830; 24.324830/0.233012=104.393211
0.173942: 412: 0.746496; 0.0     *   0.0     = 0.0     ;  0.0     /0.173942=  0.0     
0.126287: 449: 0.726030; 0.0     *   0.0     = 0.0     ;  0.0     /0.126287=  0.0     
0.089184: 486: 0.706196; 0.170202*  97.487602=16.592617; 16.592617/0.089184=186.050211
0.061267: 523: 0.686975; 0.0     *   0.0     = 0.0     ;  0.0     /0.061267=  0.0     
0.040948: 559: 0.668348; 0.0     *   0.0     = 0.0     ;  0.0     /0.040948=  0.0     
0.026628: 596: 0.650299; 0.216326*  45.240277= 9.786663;  9.786663/0.026628=367.530666
0.016850: 633: 0.632805; 0.0     *   0.0     = 0.0     ;  0.0     /0.016850=  0.0     
0.010378: 670: 0.615864; 0.0     *   0.0     = 0.0     ;  0.0     /0.010378=  0.0     
0.006221: 706: 0.599439; 0.270428*  16.580142= 4.483727;  4.483727/0.006221=720.772429
0.003630: 743: 0.583527; 0.0     *   0.0     = 0.0     ;  0.0     /0.003630=  0.0     
0.002062: 780: 0.568119; 0.0     *   0.0     = 0.0     ;  0.0     /0.002062=  0.0     
0.001141: 817: 0.553176; 0.327789*   4.472815= 1.466141;  1.466141/0.001141=1285.200973
