# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-050-logSNR.txt
# order     : 3
# steps     : 50
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99982339  :    0.00164 :    0
# 0.99968827  :    0.00266 :    1
# 0.99954468  :    0.00360 :    2
# 0.99933517  :    0.00481 :    3
# 0.99902904  :    0.00633 :    5
# 0.99858218  :    0.00823 :    7
# 0.99793035  :    0.01059 :    9
# 0.99697948  :    0.01348 :   12
# 0.99559373  :    0.01701 :   16
# 0.99357647  :    0.02131 :   20
# 0.99064422  :    0.02652 :   25
# 0.98639190  :    0.03284 :   31
# 0.98024529  :    0.04046 :   39
# 0.97140300  :    0.04963 :   48
# 0.95876914  :    0.06064 :   59
# 0.94089359  :    0.07380 :   72
# 0.91594744  :    0.08945 :   88
# 0.88179517  :    0.10791 :  106
# 0.83624703  :    0.12949 :  128
# 0.77757484  :    0.15439 :  153
# 0.70528924  :    0.18265 :  181
# 0.62096310  :    0.21409 :  213
# 0.52863431  :    0.24829 :  247
# 0.43430385  :    0.28461 :  283
# 0.34450361  :    0.32225 :  321
# 0.26458675  :    0.36043 :  359
# 0.19761959  :    0.39844 :  397
# 0.14427668  :    0.43574 :  434
# 0.10347559  :    0.47198 :  470
# 0.07322560  :    0.50695 :  505
# 0.05131273  :    0.54056 :  539
# 0.03570468  :    0.57282 :  571
# 0.02472049  :    0.60377 :  602
# 0.01705571  :    0.63348 :  632
# 0.01173886  :    0.66205 :  661
# 0.00806585  :    0.68955 :  688
# 0.00553566  :    0.71608 :  715
# 0.00379613  :    0.74171 :  740
# 0.00260181  :    0.76652 :  765
# 0.00178256  :    0.79057 :  789
# 0.00122096  :    0.81393 :  812
# 0.00083615  :    0.83664 :  835
# 0.00057255  :    0.85876 :  857
# 0.00039201  :    0.88033 :  879
# 0.00026839  :    0.90138 :  900
# 0.00018375  :    0.92195 :  920
# 0.00012579  :    0.94207 :  941
# 0.00008612  :    0.96177 :  960
# 0.00005895  :    0.98107 :  980
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 12755160412865060108
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:1292.150831 = 1244.556388 + 47.594443
# loss_var    : 4538.775412 => 1244.556388
# model.lp    : 0.1
# model.out_ch: 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999650:   1: 0.999650; 0.0     *   0.0     = 0.0     ;  0.0     /0.999650=  0.0     
0.999385:   3: 0.999735; 0.000615*2583.661715= 1.590025;  1.590025/0.999385=  1.591004
0.999103:   4: 0.999718; 0.0     *   0.0     = 0.0     ;  0.0     /0.999103=  0.0     
0.998689:   6: 0.999586; 0.0     *   0.0     = 0.0     ;  0.0     /0.998689=  0.0     
0.998083:   9: 0.999394; 0.000360*3048.231432= 1.098885;  1.098885/0.998083=  1.100996
0.997202:  11: 0.999117; 0.0     *   0.0     = 0.0     ;  0.0     /0.997202=  0.0     
0.995917:  15: 0.998712; 0.0     *   0.0     = 0.0     ;  0.0     /0.995917=  0.0     
0.994043:  19: 0.998118; 0.001122*2233.480677= 2.505751;  2.505751/0.994043=  2.520768
0.991345:  24: 0.997286; 0.0     *   0.0     = 0.0     ;  0.0     /0.991345=  0.0     
0.987470:  30: 0.996092; 0.0     *   0.0     = 0.0     ;  0.0     /0.987470=  0.0     
0.983946:  35: 0.996431; 0.002491*1592.669244= 3.967577;  3.967577/0.983946=  4.032310
0.975656:  44: 0.991574; 0.0     *   0.0     = 0.0     ;  0.0     /0.975656=  0.0     
0.964857:  54: 0.988931; 0.0     *   0.0     = 0.0     ;  0.0     /0.964857=  0.0     
0.964349:  55: 0.999474; 0.004017*1140.151315= 4.579864;  4.579864/0.964349=  4.749175
0.939723:  73: 0.974463; 0.0     *   0.0     = 0.0     ;  0.0     /0.939723=  0.0     
0.932675:  78: 0.992500; 0.0     *   0.0     = 0.0     ;  0.0     /0.932675=  0.0     
0.932204:  78: 0.999495; 0.005586* 857.667776= 4.790563;  4.790563/0.932204=  5.138964
0.885707: 104: 0.950122; 0.0     *   0.0     = 0.0     ;  0.0     /0.885707=  0.0     
0.885010: 105: 0.999213; 0.0     *   0.0     = 0.0     ;  0.0     /0.885010=  0.0     
0.884782: 105: 0.999743; 0.007356* 671.399122= 4.939116;  4.939116/0.884782=  5.582295
0.884640: 105: 0.999839; 0.0     *   0.0     = 0.0     ;  0.0     /0.884640=  0.0     
0.867242: 114: 0.980334; 0.0     *   0.0     = 0.0     ;  0.0     /0.867242=  0.0     
0.824943: 133: 0.951225; 0.008216* 615.474352= 5.056500;  5.056500/0.824943=  6.129513
0.760223: 160: 0.921547; 0.0     *   0.0     = 0.0     ;  0.0     /0.760223=  0.0     
0.679048: 191: 0.893221; 0.0     *   0.0     = 0.0     ;  0.0     /0.679048=  0.0     
0.589423: 224: 0.868014; 0.082425* 391.467787=32.266920; 32.266920/0.589423= 54.743219
0.499176: 258: 0.846890; 0.0     *   0.0     = 0.0     ;  0.0     /0.499176=  0.0     
