# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-050-time_uniform.txt
# order     : 3
# steps     : 50
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99374515  :    0.02098 :   19
# 0.97980201  :    0.04096 :   39
# 0.95839578  :    0.06094 :   59
# 0.93002242  :    0.08092 :   79
# 0.89532876  :    0.10090 :   99
# 0.85508835  :    0.12088 :  119
# 0.81017190  :    0.14086 :  139
# 0.76151741  :    0.16084 :  159
# 0.71009684  :    0.18082 :  179
# 0.65688455  :    0.20080 :  199
# 0.60282701  :    0.22078 :  219
# 0.54881662  :    0.24076 :  239
# 0.49566856  :    0.26074 :  259
# 0.44410270  :    0.28072 :  279
# 0.39473221  :    0.30070 :  299
# 0.34805411  :    0.32068 :  319
# 0.30444932  :    0.34066 :  339
# 0.26418370  :    0.36064 :  359
# 0.22741456  :    0.38062 :  379
# 0.19420029  :    0.40060 :  399
# 0.16451307  :    0.42058 :  419
# 0.13825083  :    0.44056 :  439
# 0.11525249  :    0.46054 :  459
# 0.09531191  :    0.48052 :  479
# 0.07819104  :    0.50050 :  499
# 0.06363231  :    0.52048 :  519
# 0.05136989  :    0.54046 :  539
# 0.04113851  :    0.56044 :  559
# 0.03268097  :    0.58042 :  579
# 0.02575416  :    0.60040 :  599
# 0.02013283  :    0.62038 :  619
# 0.01561221  :    0.64036 :  639
# 0.01200952  :    0.66034 :  659
# 0.00916406  :    0.68032 :  679
# 0.00693662  :    0.70030 :  699
# 0.00520841  :    0.72028 :  719
# 0.00387935  :    0.74026 :  739
# 0.00286620  :    0.76024 :  759
# 0.00210062  :    0.78022 :  779
# 0.00152714  :    0.80020 :  799
# 0.00110129  :    0.82018 :  819
# 0.00078780  :    0.84016 :  839
# 0.00055900  :    0.86014 :  859
# 0.00039346  :    0.88012 :  879
# 0.00027471  :    0.90010 :  899
# 0.00019025  :    0.92008 :  919
# 0.00013069  :    0.94006 :  939
# 0.00008906  :    0.96004 :  959
# 0.00006020  :    0.98002 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 16325776342548541647
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000999; loss:1016.285927 = 883.687818 + 132.598110
# loss_var    : 3594.555250 => 883.687818
# model.lp    : 0.1
# model.out_ch: 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.987512:  30: 0.987512; 0.0     *   0.0     = 0.0     ;  0.0     /0.987512=  0.0     
0.983986:  34: 0.996429; 0.016014*1004.056686=16.078708; 16.078708/0.983986= 16.340379
0.942419:  71: 0.957757; 0.0     *   0.0     = 0.0     ;  0.0     /0.942419=  0.0     
0.942203:  71: 0.999771; 0.0     *   0.0     = 0.0     ;  0.0     /0.942203=  0.0     
0.942110:  71: 0.999901; 0.013637* 898.921820=12.259004; 12.259004/0.942110= 13.012282
0.871967: 111: 0.925547; 0.0     *   0.0     = 0.0     ;  0.0     /0.871967=  0.0     
0.871578: 111: 0.999554; 0.0     *   0.0     = 0.0     ;  0.0     /0.871578=  0.0     
0.871380: 112: 0.999773; 0.016190* 637.130761=10.315378; 10.315378/0.871380= 11.837979
0.773247: 155: 0.887382; 0.0     *   0.0     = 0.0     ;  0.0     /0.773247=  0.0     
0.772600: 155: 0.999163; 0.0     *   0.0     = 0.0     ;  0.0     /0.772600=  0.0     
0.772282: 155: 0.999587; 0.019480* 477.221221= 9.296258;  9.296258/0.772282= 12.037396
0.661299: 198: 0.856292; 0.0     *   0.0     = 0.0     ;  0.0     /0.661299=  0.0     
0.659898: 198: 0.997882; 0.0     *   0.0     = 0.0     ;  0.0     /0.659898=  0.0     
0.656751: 199: 0.995231; 0.021262* 371.679876= 7.902633;  7.902633/0.656751= 12.032920
0.569664: 232: 0.867398; 0.0     *   0.0     = 0.0     ;  0.0     /0.569664=  0.0     
0.558138: 236: 0.979767; 0.0     *   0.0     = 0.0     ;  0.0     /0.558138=  0.0     
0.543567: 241: 0.973893; 0.020333* 304.160596= 6.184518;  6.184518/0.543567= 11.377659
0.482268: 264: 0.887228; 0.0     *   0.0     = 0.0     ;  0.0     /0.482268=  0.0     
0.462682: 272: 0.959387; 0.0     *   0.0     = 0.0     ;  0.0     /0.462682=  0.0     
0.440848: 281: 0.952812; 0.019416* 253.016719= 4.912464;  4.912464/0.440848= 11.143203
0.405513: 295: 0.919847; 0.0     *   0.0     = 0.0     ;  0.0     /0.405513=  0.0     
0.380555: 305: 0.938452; 0.0     *   0.0     = 0.0     ;  0.0     /0.380555=  0.0     
0.354816: 316: 0.932365; 0.017527* 213.577202= 3.743374;  3.743374/0.354816= 10.550191
0.328702: 328: 0.926401; 0.0     *   0.0     = 0.0     ;  0.0     /0.328702=  0.0     
0.302411: 340: 0.920017; 0.0     *   0.0     = 0.0     ;  0.0     /0.302411=  0.0     
0.276269: 353: 0.913553; 0.020151* 178.675775= 3.600418;  3.600418/0.276269= 13.032311
0.250609: 366: 0.907119; 0.0     *   0.0     = 0.0     ;  0.0     /0.250609=  0.0     
