# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-100-logSNR.txt
# order     : 3
# steps     : 100
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99982345  :    0.00164 :    0
# 0.99978673  :    0.00194 :    0
# 0.99974209  :    0.00227 :    1
# 0.99968827  :    0.00266 :    1
# 0.99962330  :    0.00311 :    2
# 0.99954468  :    0.00360 :    2
# 0.99944979  :    0.00417 :    3
# 0.99933517  :    0.00481 :    3
# 0.99919647  :    0.00552 :    4
# 0.99902904  :    0.00633 :    5
# 0.99882674  :    0.00723 :    6
# 0.99858218  :    0.00823 :    7
# 0.99828696  :    0.00935 :    8
# 0.99793035  :    0.01059 :    9
# 0.99749959  :    0.01196 :   10
# 0.99697948  :    0.01348 :   12
# 0.99635160  :    0.01516 :   14
# 0.99559373  :    0.01701 :   16
# 0.99467939  :    0.01906 :   18
# 0.99357647  :    0.02131 :   20
# 0.99224669  :    0.02379 :   22
# 0.99064422  :    0.02652 :   25
# 0.98871446  :    0.02953 :   28
# 0.98639190  :    0.03284 :   31
# 0.98359948  :    0.03647 :   35
# 0.98024541  :    0.04046 :   39
# 0.97622210  :    0.04483 :   43
# 0.97140312  :    0.04963 :   48
# 0.96564186  :    0.05489 :   53
# 0.95876932  :    0.06064 :   59
# 0.95059228  :    0.06693 :   65
# 0.94089365  :    0.07380 :   72
# 0.92943239  :    0.08129 :   80
# 0.91594744  :    0.08945 :   88
# 0.90016216  :    0.09831 :   97
# 0.88179505  :    0.10791 :  106
# 0.86057234  :    0.11830 :  117
# 0.83624697  :    0.12949 :  128
# 0.80862135  :    0.14152 :  140
# 0.77757484  :    0.15439 :  153
# 0.74309194  :    0.16810 :  167
# 0.70528924  :    0.18265 :  181
# 0.66443598  :    0.19799 :  196
# 0.62096310  :    0.21409 :  213
# 0.57545680  :    0.23088 :  229
# 0.52863431  :    0.24829 :  247
# 0.48130244  :    0.26623 :  265
# 0.43430385  :    0.28461 :  283
# 0.38845760  :    0.30332 :  302
# 0.34450361  :    0.32225 :  321
# 0.30305848  :    0.34132 :  340
# 0.26458675  :    0.36043 :  359
# 0.22939129  :    0.37949 :  378
# 0.19761959  :    0.39844 :  397
# 0.16928165  :    0.41721 :  416
# 0.14427668  :    0.43574 :  434
# 0.12242088  :    0.45401 :  453
# 0.10347559  :    0.47198 :  470
# 0.08717096  :    0.48963 :  488
# 0.07322560  :    0.50695 :  505
# 0.06136120  :    0.52393 :  522
# 0.05131270  :    0.54056 :  539
# 0.04283467  :    0.55686 :  555
# 0.03570468  :    0.57282 :  571
# 0.02972464  :    0.58845 :  587
# 0.02472051  :    0.60377 :  602
# 0.02054097  :    0.61878 :  617
# 0.01705572  :    0.63348 :  632
# 0.01415328  :    0.64790 :  646
# 0.01173886  :    0.66205 :  661
# 0.00973225  :    0.67593 :  674
# 0.00806585  :    0.68955 :  688
# 0.00668285  :    0.70293 :  701
# 0.00553566  :    0.71608 :  715
# 0.00458449  :    0.72900 :  728
# 0.00379613  :    0.74171 :  740
# 0.00314292  :    0.75421 :  753
# 0.00260181  :    0.76652 :  765
# 0.00215366  :    0.77864 :  777
# 0.00178256  :    0.79057 :  789
# 0.00147531  :    0.80233 :  801
# 0.00122096  :    0.81393 :  812
# 0.00101042  :    0.82536 :  824
# 0.00083615  :    0.83664 :  835
# 0.00069191  :    0.84777 :  846
# 0.00057255  :    0.85876 :  857
# 0.00047376  :    0.86961 :  868
# 0.00039201  :    0.88033 :  879
# 0.00032437  :    0.89091 :  889
# 0.00026839  :    0.90138 :  900
# 0.00022207  :    0.91172 :  910
# 0.00018375  :    0.92195 :  920
# 0.00015203  :    0.93206 :  931
# 0.00012579  :    0.94207 :  941
# 0.00010408  :    0.95197 :  950
# 0.00008612  :    0.96177 :  960
# 0.00007125  :    0.97147 :  970
# 0.00005895  :    0.98107 :  980
# 0.00004878  :    0.99058 :  989
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 18190908542632105087
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:545.391454 = 448.408973 + 96.982481
# loss_var    : 2244.095897 => 448.408973
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999656:   1: 0.999656; 0.000344*1372.962667= 0.471949;  0.471949/0.999656=  0.472111
0.999589:   2: 0.999933; 0.000003*1326.187371= 0.003971;  0.003971/0.999589=  0.003973
0.999506:   2: 0.999917; 0.000004*1274.937427= 0.004872;  0.004872/0.999506=  0.004874
0.999404:   3: 0.999898; 0.000005*1225.596627= 0.005853;  0.005853/0.999404=  0.005857
0.999286:   4: 0.999882; 0.0     *   0.0     = 0.0     ;  0.0     /0.999286=  0.0     
0.999142:   4: 0.999856; 0.0     *   0.0     = 0.0     ;  0.0     /0.999142=  0.0     
0.998961:   5: 0.999819; 0.000061*3378.458410= 0.206772;  0.206772/0.998961=  0.206987
0.998748:   6: 0.999787; 0.0     *   0.0     = 0.0     ;  0.0     /0.998748=  0.0     
0.998480:   7: 0.999732; 0.0     *   0.0     = 0.0     ;  0.0     /0.998480=  0.0     
0.998157:   8: 0.999676; 0.000115*2935.179299= 0.337349;  0.337349/0.998157=  0.337972
0.997769:  10: 0.999612; 0.0     *   0.0     = 0.0     ;  0.0     /0.997769=  0.0     
0.997298:  11: 0.999527; 0.0     *   0.0     = 0.0     ;  0.0     /0.997298=  0.0     
0.996723:  13: 0.999424; 0.000206*2510.647228= 0.516493;  0.516493/0.996723=  0.518191
0.996028:  14: 0.999303; 0.0     *   0.0     = 0.0     ;  0.0     /0.996028=  0.0     
0.995184:  16: 0.999153; 0.0     *   0.0     = 0.0     ;  0.0     /0.995184=  0.0     
0.994167:  19: 0.998978; 0.000369*2122.044646= 0.782196;  0.782196/0.994167=  0.786785
0.992942:  21: 0.998767; 0.0     *   0.0     = 0.0     ;  0.0     /0.992942=  0.0     
0.991452:  24: 0.998500; 0.0     *   0.0     = 0.0     ;  0.0     /0.991452=  0.0     
0.989652:  27: 0.998185; 0.000652*1777.337428= 1.158053;  1.158053/0.989652=  1.170162
0.987490:  30: 0.997815; 0.0     *   0.0     = 0.0     ;  0.0     /0.987490=  0.0     
0.984879:  33: 0.997355; 0.0     *   0.0     = 0.0     ;  0.0     /0.984879=  0.0     
0.981722:  37: 0.996794; 0.001148*1472.814737= 1.690801;  1.690801/0.981722=  1.722281
0.977932:  42: 0.996140; 0.0     *   0.0     = 0.0     ;  0.0     /0.977932=  0.0     
0.973373:  46: 0.995338; 0.0     *   0.0     = 0.0     ;  0.0     /0.973373=  0.0     
0.967898:  51: 0.994376; 0.002018*1208.438121= 2.439114;  2.439114/0.967898=  2.520011
0.961344:  57: 0.993228; 0.0     *   0.0     = 0.0     ;  0.0     /0.961344=  0.0     
0.953501:  63: 0.991842; 0.0     *   0.0     = 0.0     ;  0.0     /0.953501=  0.0     
0.944134:  70: 0.990176; 0.003529* 980.769363= 3.460951;  3.460951/0.944134=  3.665741
0.933000:  78: 0.988207; 0.0     *   0.0     = 0.0     ;  0.0     /0.933000=  0.0     
0.919783:  86: 0.985834; 0.0     *   0.0     = 0.0     ;  0.0     /0.919783=  0.0     
0.904155:  95: 0.983009; 0.006129* 787.148701= 4.824318;  4.824318/0.904155=  5.335720
0.885802: 104: 0.979702; 0.0     *   0.0     = 0.0     ;  0.0     /0.885802=  0.0     
0.864329: 115: 0.975759; 0.0     *   0.0     = 0.0     ;  0.0     /0.864329=  0.0     
0.839363: 127: 0.971115; 0.010507* 622.904522= 6.545081;  6.545081/0.839363=  7.797674
0.810601: 139: 0.965733; 0.0     *   0.0     = 0.0     ;  0.0     /0.810601=  0.0     
0.777788: 153: 0.959521; 0.0     *   0.0     = 0.0     ;  0.0     /0.777788=  0.0     
0.740752: 168: 0.952382; 0.017596* 483.720544= 8.511313;  8.511313/0.740752= 11.490102
0.699317: 183: 0.944064; 0.0     *   0.0     = 0.0     ;  0.0     /0.699317=  0.0     
0.654463: 200: 0.935860; 0.0     *   0.0     = 0.0     ;  0.0     /0.654463=  0.0     
0.620398: 213: 0.947950; 0.022545* 372.040407= 8.387613;  8.387613/0.620398= 13.519727
0.565875: 233: 0.912116; 0.0     *   0.0     = 0.0     ;  0.0     /0.565875=  0.0     
0.509660: 254: 0.900659; 0.0     *   0.0     = 0.0     ;  0.0     /0.509660=  0.0     
0.498518: 258: 0.978138; 0.024293* 286.249758= 6.953753;  6.953753/0.498518= 13.948844
0.434584: 283: 0.871752; 0.0     *   0.0     = 0.0     ;  0.0     /0.434584=  0.0     
0.381220: 305: 0.877207; 0.0     *   0.0     = 0.0     ;  0.0     /0.381220=  0.0     
0.380416: 305: 0.997889; 0.028402* 222.433135= 6.317461;  6.317461/0.380416= 16.606733
