# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-100-time_quadratic.txt
# order     : 3
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99981529  :    0.00171 :    0
# 0.99969620  :    0.00260 :    1
# 0.99953145  :    0.00368 :    2
# 0.99930996  :    0.00495 :    3
# 0.99901235  :    0.00641 :    5
# 0.99862993  :    0.00805 :    7
# 0.99813807  :    0.00988 :    8
# 0.99751961  :    0.01190 :   10
# 0.99675131  :    0.01411 :   13
# 0.99580753  :    0.01650 :   15
# 0.99466693  :    0.01908 :   18
# 0.99329579  :    0.02185 :   20
# 0.99166685  :    0.02481 :   23
# 0.98974973  :    0.02795 :   26
# 0.98750734  :    0.03129 :   30
# 0.98490953  :    0.03481 :   33
# 0.98191702  :    0.03851 :   37
# 0.97849500  :    0.04241 :   41
# 0.97460449  :    0.04649 :   45
# 0.97020745  :    0.05076 :   49
# 0.96526349  :    0.05522 :   54
# 0.95973396  :    0.05986 :   58
# 0.95357776  :    0.06469 :   63
# 0.94675821  :    0.06971 :   68
# 0.93923765  :    0.07492 :   73
# 0.93097502  :    0.08032 :   79
# 0.92194039  :    0.08590 :   84
# 0.91209573  :    0.09167 :   90
# 0.90141374  :    0.09763 :   96
# 0.88986635  :    0.10377 :  102
# 0.87742943  :    0.11010 :  109
# 0.86408037  :    0.11662 :  115
# 0.84980732  :    0.12333 :  122
# 0.83459920  :    0.13023 :  129
# 0.81845039  :    0.13731 :  136
# 0.80136335  :    0.14458 :  143
# 0.78334761  :    0.15204 :  151
# 0.76441401  :    0.15969 :  158
# 0.74458891  :    0.16752 :  166
# 0.72390139  :    0.17554 :  174
# 0.70238960  :    0.18375 :  182
# 0.68009895  :    0.19214 :  191
# 0.65708250  :    0.20073 :  199
# 0.63340271  :    0.20950 :  208
# 0.60912895  :    0.21846 :  217
# 0.58433783  :    0.22760 :  226
# 0.55911332  :    0.23694 :  235
# 0.53354198  :    0.24646 :  245
# 0.50772280  :    0.25617 :  255
# 0.48175344  :    0.26606 :  265
# 0.45573676  :    0.27615 :  275
# 0.42977899  :    0.28642 :  285
# 0.40398845  :    0.29688 :  295
# 0.37847048  :    0.30752 :  306
# 0.35333231  :    0.31836 :  317
# 0.32867697  :    0.32938 :  328
# 0.30460387  :    0.34059 :  339
# 0.28120822  :    0.35198 :  350
# 0.25857562  :    0.36357 :  362
# 0.23678829  :    0.37534 :  374
# 0.21591711  :    0.38730 :  386
# 0.19602349  :    0.39945 :  398
# 0.17716001  :    0.41178 :  410
# 0.15936618  :    0.42430 :  423
# 0.14267248  :    0.43701 :  436
# 0.12709635  :    0.44991 :  448
# 0.11264504  :    0.46299 :  461
# 0.09931426  :    0.47626 :  475
# 0.08708974  :    0.48972 :  488
# 0.07594710  :    0.50337 :  502
# 0.06585332  :    0.51721 :  516
# 0.05676719  :    0.53123 :  530
# 0.04864064  :    0.54544 :  544
# 0.04142054  :    0.55984 :  558
# 0.03504879  :    0.57442 :  573
# 0.02946457  :    0.58919 :  588
# 0.02460498  :    0.60415 :  603
# 0.02040648  :    0.61930 :  618
# 0.01680579  :    0.63464 :  633
# 0.01374107  :    0.65016 :  649
# 0.01115256  :    0.66587 :  664
# 0.00898346  :    0.68177 :  680
# 0.00718039  :    0.69785 :  696
# 0.00569389  :    0.71413 :  713
# 0.00447862  :    0.73059 :  729
# 0.00349358  :    0.74723 :  746
# 0.00270215  :    0.76407 :  763
# 0.00207191  :    0.78109 :  780
# 0.00157460  :    0.79830 :  797
# 0.00118584  :    0.81570 :  814
# 0.00088481  :    0.83329 :  832
# 0.00065396  :    0.85106 :  850
# 0.00047868  :    0.86902 :  868
# 0.00034693  :    0.88717 :  886
# 0.00024891  :    0.90551 :  904
# 0.00017675  :    0.92403 :  923
# 0.00012419  :    0.94274 :  941
# 0.00008633  :    0.96164 :  960
# 0.00005936  :    0.98073 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 2353793152947813237
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000800; loss:819.189966 = 729.902533 + 89.287434
# loss_var    : 3360.899418 => 729.902533
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999641:   1: 0.999641; 0.000359*1358.127765= 0.488026;  0.488026/0.999641=  0.488201
0.999408:   3: 0.999767; 0.000029*1227.209679= 0.035511;  0.035511/0.999408=  0.035532
0.999084:   5: 0.999676; 0.000035*1108.380221= 0.039142;  0.039142/0.999084=  0.039178
0.998646:   6: 0.999562; 0.000043*1006.179900= 0.042910;  0.042910/0.998646=  0.042968
0.998081:   9: 0.999434; 0.0     *   0.0     = 0.0     ;  0.0     /0.998081=  0.0     
0.997348:  11: 0.999266; 0.0     *   0.0     = 0.0     ;  0.0     /0.997348=  0.0     
0.996410:  14: 0.999059; 0.000537*2531.543535= 1.358349;  1.358349/0.996410=  1.363244
0.995235:  16: 0.998821; 0.0     *   0.0     = 0.0     ;  0.0     /0.995235=  0.0     
0.993759:  19: 0.998517; 0.0     *   0.0     = 0.0     ;  0.0     /0.993759=  0.0     
0.991958:  23: 0.998188; 0.000894*1965.826656= 1.756600;  1.756600/0.991958=  1.770842
0.989747:  26: 0.997771; 0.0     *   0.0     = 0.0     ;  0.0     /0.989747=  0.0     
0.987146:  30: 0.997373; 0.0     *   0.0     = 0.0     ;  0.0     /0.987146=  0.0     
0.984050:  34: 0.996864; 0.001367*1557.587204= 2.129213;  2.129213/0.984050=  2.163723
0.980392:  39: 0.996283; 0.0     *   0.0     = 0.0     ;  0.0     /0.980392=  0.0     
0.976117:  43: 0.995639; 0.0     *   0.0     = 0.0     ;  0.0     /0.976117=  0.0     
0.971225:  48: 0.994988; 0.001951*1258.024070= 2.453905;  2.453905/0.971225=  2.526608
0.965593:  53: 0.994201; 0.0     *   0.0     = 0.0     ;  0.0     /0.965593=  0.0     
0.959155:  59: 0.993332; 0.0     *   0.0     = 0.0     ;  0.0     /0.959155=  0.0     
0.951884:  64: 0.992420; 0.002644*1031.325216= 2.726789;  2.726789/0.951884=  2.864624
0.943629:  70: 0.991328; 0.0     *   0.0     = 0.0     ;  0.0     /0.943629=  0.0     
0.934548:  77: 0.990377; 0.0     *   0.0     = 0.0     ;  0.0     /0.934548=  0.0     
0.924531:  83: 0.989282; 0.003426* 856.149316= 2.933595;  2.933595/0.924531=  3.173062
0.913310:  89: 0.987862; 0.0     *   0.0     = 0.0     ;  0.0     /0.913310=  0.0     
0.901052:  96: 0.986579; 0.0     *   0.0     = 0.0     ;  0.0     /0.901052=  0.0     
0.887998: 103: 0.985513; 0.004282* 718.725675= 3.077279;  3.077279/0.887998=  3.465411
0.873274: 111: 0.983419; 0.0     *   0.0     = 0.0     ;  0.0     /0.873274=  0.0     
0.858327: 118: 0.982884; 0.0     *   0.0     = 0.0     ;  0.0     /0.858327=  0.0     
0.842173: 125: 0.981180; 0.005092* 609.696596= 3.104454;  3.104454/0.842173=  3.686241
0.823466: 134: 0.977786; 0.0     *   0.0     = 0.0     ;  0.0     /0.823466=  0.0     
0.804726: 142: 0.977243; 0.0     *   0.0     = 0.0     ;  0.0     /0.804726=  0.0     
0.788642: 148: 0.980013; 0.005670* 520.651613= 2.951881;  2.951881/0.788642=  3.742995
0.766652: 157: 0.972117; 0.0     *   0.0     = 0.0     ;  0.0     /0.766652=  0.0     
0.748632: 164: 0.976495; 0.0     *   0.0     = 0.0     ;  0.0     /0.748632=  0.0     
0.728736: 172: 0.973424; 0.006225* 450.196686= 2.802425;  2.802425/0.728736=  3.845595
0.705460: 181: 0.968059; 0.0     *   0.0     = 0.0     ;  0.0     /0.705460=  0.0     
0.682926: 190: 0.968058; 0.0     *   0.0     = 0.0     ;  0.0     /0.682926=  0.0     
0.665281: 196: 0.974162; 0.006547* 391.894429= 2.565642;  2.565642/0.665281=  3.856481
0.638216: 206: 0.959319; 0.0     *   0.0     = 0.0     ;  0.0     /0.638216=  0.0     
0.608546: 217: 0.953511; 0.0     *   0.0     = 0.0     ;  0.0     /0.608546=  0.0     
0.599844: 220: 0.985700; 0.006925* 340.769681= 2.359933;  2.359933/0.599844=  3.934244
0.574683: 230: 0.958054; 0.0     *   0.0     = 0.0     ;  0.0     /0.574683=  0.0     
0.544670: 241: 0.947774; 0.0     *   0.0     = 0.0     ;  0.0     /0.544670=  0.0     
0.535438: 244: 0.983050; 0.007045* 301.084959= 2.121124;  2.121124/0.535438=  3.961476
0.509653: 254: 0.951844; 0.0     *   0.0     = 0.0     ;  0.0     /0.509653=  0.0     
0.485236: 263: 0.952091; 0.0     *   0.0     = 0.0     ;  0.0     /0.485236=  0.0     
0.474660: 267: 0.978204; 0.006900* 267.426257= 1.845160;  1.845160/0.474660=  3.887333
