# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-010-logSNR.txt
# order     : 1
# steps     : 10
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99930942    3
# 0.99524850   16
# 0.96806973   51
# 0.81441778  138
# 0.38845780  302
# 0.08420218  492
# 0.01313375  652
# 0.00192265  784
# 0.00027875  898
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:1290.058856 = 1290.040570 + 0.018285
# loss_var     : 1428.550366 => 1290.040570
# model.learning_portion: 0.01
# model.out_channels    : 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.998924:   5: 0.998924; 0.001076*1066.710363= 1.147857;  1.147857/0.998924=  1.149093
0.995163:  17: 0.996235; 0.001355* 705.650521= 0.955947;  0.955947/0.995163=  0.960593
0.977908:  42: 0.982662; 0.006350* 430.247043= 2.732271;  2.732271/0.977908=  2.793994
0.832462: 130: 0.851268; 0.074082* 186.999852=13.853293; 13.853293/0.832462= 16.641353
0.405384: 295: 0.486970; 0.235691*  75.051656=17.689022; 17.689022/0.405384= 43.635188
0.091924: 483: 0.226758; 0.343083*  25.851633= 8.869268;  8.869268/0.091924= 96.484813
0.015257: 641: 0.165977; 0.364956*   7.152960= 2.610514;  2.610514/0.015257=171.099803
0.002386: 771: 0.156388; 0.367691*   1.577057= 0.579870;  0.579870/0.002386=243.024861
0.000370: 882: 0.154980; 0.367976*   0.293589= 0.108034;  0.108034/0.000370=292.149930
0.000057: 981: 0.154787; 0.367981*   0.065657= 0.024160;  0.024160/0.000057=422.100943
