# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-015-logSNR.txt
# order     : 1
# steps     : 15
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99963725    2
# 0.99868554    6
# 0.99524850   16
# 0.98297679   36
# 0.94089365   72
# 0.81441778  138
# 0.54747128  240
# 0.25010380  367
# 0.08420218  492
# 0.02472051  602
# 0.00693918  699
# 0.00192265  784
# 0.00053078  862
# 0.00014638  933
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:1071.972812 = 1071.951727 + 0.021084
# loss_var     : 1170.803271 => 1071.951727
# model.learning_portion: 0.01
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999352:   3: 0.999352; 0.000648*1202.624983= 0.779262;  0.779262/0.999352=  0.779768
0.997485:  11: 0.998132; 0.000611* 852.871487= 0.521016;  0.521016/0.997485=  0.522330
0.990915:  25: 0.993414; 0.002055* 580.187999= 1.192238;  1.192238/0.990915=  1.203169
0.977737:  42: 0.986701; 0.002973* 429.099684= 1.275920;  1.275920/0.977737=  1.304972
0.945544:  69: 0.967074; 0.007504* 306.832934= 2.302600;  2.302600/0.945544=  2.435212
0.827862: 132: 0.875541; 0.038628* 184.349745= 7.121117;  7.121117/0.827862=  8.601814
0.564769: 233: 0.682202; 0.100512* 102.904121=10.343048; 10.343048/0.564769= 18.313757
0.263647: 359: 0.466823; 0.165942*  53.780195= 8.924403;  8.924403/0.263647= 33.849796
0.091396: 483: 0.346661; 0.200677*  25.748583= 5.167150;  5.167150/0.091396= 56.535756
0.027746: 593: 0.303579; 0.212366*  11.167896= 2.371680;  2.371680/0.027746= 85.478559
0.008066: 688: 0.290700; 0.215598*   4.353387= 0.938582;  0.938582/0.008066=116.366617
0.002315: 773: 0.287067; 0.216430*   1.540879= 0.333492;  0.333492/0.002315=144.031565
0.000662: 849: 0.286063; 0.216634*   0.499077= 0.108117;  0.108117/0.000662=163.232281
0.000189: 919: 0.285779; 0.216689*   0.163216= 0.035367;  0.035367/0.000189=186.844345
0.000054: 984: 0.285718; 0.216688*   0.063009= 0.013653;  0.013653/0.000054=252.451788
