# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-020-time_quadratic.txt
# order     : 1
# steps     : 20
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99901235    5
# 0.99580753   15
# 0.98750734   30
# 0.97020745   49
# 0.93923771   73
# 0.88986635  102
# 0.81845045  136
# 0.72390145  174
# 0.60912907  217
# 0.48175356  265
# 0.35333252  317
# 0.23678841  374
# 0.14267248  436
# 0.07594710  502
# 0.03504874  573
# 0.01374107  649
# 0.00447862  729
# 0.00118584  814
# 0.00024891  904
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:1054.864981 = 1054.847576 + 0.017404
# loss_var     : 1187.256220 => 1054.847576
# model.learning_portion: 0.01
# model.out_channels    : 20
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999481:   3: 0.999481; 0.000519*1259.198713= 0.654052;  0.654052/0.999481=  0.654392
0.997707:  10: 0.998225; 0.000631* 875.934366= 0.552680;  0.552680/0.997707=  0.553951
0.994231:  18: 0.996516; 0.000792* 668.865757= 0.529928;  0.529928/0.994231=  0.533003
0.986678:  31: 0.992403; 0.001581* 511.680829= 0.808813;  0.808813/0.986678=  0.819733
0.965017:  54: 0.978047; 0.005313* 363.880918= 1.933228;  1.933228/0.965017=  2.003309
0.923913:  83: 0.957406; 0.008617* 267.571590= 2.305661;  2.305661/0.923913=  2.495538
0.858980: 118: 0.929719; 0.012003* 203.491313= 2.442487;  2.442487/0.858980=  2.843475
0.768319: 157: 0.894455; 0.015920* 157.376883= 2.505500;  2.505500/0.768319=  3.261015
0.654171: 200: 0.851431; 0.020716* 122.883425= 2.545714;  2.545714/0.654171=  3.891513
0.523906: 249: 0.800870; 0.026805*  95.040557= 2.547541;  2.547541/0.523906=  4.862591
0.389478: 301: 0.743413; 0.034758*  72.751714= 2.528709;  2.528709/0.389478=  6.492556
0.264901: 359: 0.680143; 0.045363*  54.026394= 2.450815;  2.450815/0.264901=  9.251823
0.162257: 421: 0.612519; 0.059667*  38.129979= 2.275085;  2.275085/0.162257= 14.021517
0.087993: 487: 0.542308; 0.078940*  25.079211= 1.979742;  1.979742/0.087993= 22.498846
0.041487: 558: 0.471481; 0.104521*  14.934173= 1.560938;  1.560938/0.041487= 37.624692
0.016680: 634: 0.402050; 0.137525*   7.660017= 1.053443;  1.053443/0.016680= 63.156569
0.005603: 714: 0.335925; 0.178471*   3.264012= 0.582532;  0.582532/0.005603=103.964665
0.001540: 798: 0.274775; 0.227063*   1.071362= 0.243266;  0.243266/0.001540=158.004837
0.000339: 887: 0.219899; 0.282234*   0.272147= 0.076809;  0.076809/0.000339=226.870976
0.000058: 980: 0.172146; 0.342385*   0.066564= 0.022791;  0.022791/0.000058=391.042575
