# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-100-logSNR.txt
# order     : 1
# steps     : 100
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99987864    0
# 0.99985278    0
# 0.99982148    0
# 0.99978334    0
# 0.99973720    1
# 0.99968112    1
# 0.99961323    2
# 0.99953079    2
# 0.99943078    3
# 0.99930942    3
# 0.99916238    4
# 0.99898380    5
# 0.99876750    6
# 0.99850506    7
# 0.99818689    8
# 0.99780113   10
# 0.99733365   11
# 0.99676692   13
# 0.99608016   14
# 0.99524850   16
# 0.99424118   18
# 0.99302185   21
# 0.99154657   24
# 0.98976260   26
# 0.98760682   30
# 0.98500395   33
# 0.98186451   37
# 0.97808242   41
# 0.97353292   46
# 0.96806973   51
# 0.96152347   57
# 0.95369953   63
# 0.94437647   70
# 0.93330741   77
# 0.92022163   85
# 0.90483028   94
# 0.88683462  104
# 0.86594027  114
# 0.84187591  125
# 0.81441778  138
# 0.78341812  151
# 0.74883723  164
# 0.71077335  179
# 0.66948688  195
# 0.62541282  211
# 0.57915610  228
# 0.53146654  246
# 0.48319510  264
# 0.43523529  283
# 0.38845766  302
# 0.34364849  321
# 0.30145997  341
# 0.26238048  360
# 0.22672275  380
# 0.19463222  399
# 0.16610815  418
# 0.14103232  437
# 0.11920083  455
# 0.10035399  474
# 0.08420218  492
# 0.07044641  509
# 0.05879358  526
# 0.04896675  543
# 0.04071138  560
# 0.03379831  576
# 0.02802482  592
# 0.02321389  607
# 0.01921250  623
# 0.01588961  637
# 0.01313375  652
# 0.01085058  666
# 0.00896071  680
# 0.00739754  694
# 0.00610539  708
# 0.00503779  721
# 0.00415609  734
# 0.00342818  747
# 0.00282739  760
# 0.00233164  772
# 0.00192265  784
# 0.00158529  796
# 0.00130704  808
# 0.00107758  820
# 0.00088837  832
# 0.00073236  843
# 0.00060372  854
# 0.00049767  865
# 0.00041025  876
# 0.00033817  887
# 0.00027875  898
# 0.00022978  908
# 0.00018940  919
# 0.00015612  929
# 0.00012869  939
# 0.00010607  949
# 0.00008743  959
# 0.00007207  969
# 0.00005940  979
# 0.00004896  989
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:207.680857 = 207.679580 + 0.001277
# loss_var     : 257.952862 => 207.679580
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999993:   0: 0.999993; 0.000007*1872.080782= 0.012726;  0.012726/0.999993=  0.012726
0.999973:   0: 0.999980; 0.000007*1835.943909= 0.012302;  0.012302/0.999973=  0.012303
0.999936:   0: 0.999963; 0.000008*1770.417691= 0.013689;  0.013689/0.999936=  0.013690
0.999892:   0: 0.999955; 0.000006*1690.754552= 0.009929;  0.009929/0.999892=  0.009930
0.999823:   0: 0.999931; 0.000008*1567.604117= 0.013224;  0.013224/0.999823=  0.013226
0.999749:   1: 0.999926; 0.000006*1461.496032= 0.009356;  0.009356/0.999749=  0.009358
0.999656:   1: 0.999907; 0.000007*1372.888448= 0.010083;  0.010083/0.999656=  0.010086
0.999551:   2: 0.999894; 0.000007*1302.351241= 0.009214;  0.009214/0.999551=  0.009218
0.999429:   3: 0.999878; 0.000007*1236.513883= 0.008979;  0.008979/0.999429=  0.008984
0.999255:   4: 0.999826; 0.000012*1164.792863= 0.013434;  0.013434/0.999255=  0.013444
0.999070:   5: 0.999815; 0.000010*1104.861965= 0.011366;  0.011366/0.999070=  0.011377
0.998818:   6: 0.999747; 0.000015*1042.264107= 0.015807;  0.015807/0.998818=  0.015826
0.998477:   7: 0.999659; 0.000022* 977.389343= 0.021141;  0.021141/0.998477=  0.021173
0.998101:   9: 0.999624; 0.000021* 921.744990= 0.019123;  0.019123/0.998101=  0.019159
0.997678:  10: 0.999576; 0.000021* 872.973776= 0.018610;  0.018610/0.997678=  0.018653
0.997104:  12: 0.999425; 0.000032* 820.142914= 0.026092;  0.026092/0.997104=  0.026167
0.996420:  13: 0.999314; 0.000036* 771.918655= 0.028138;  0.028138/0.996420=  0.028239
0.995576:  16: 0.999153; 0.000045* 724.645142= 0.032601;  0.032601/0.995576=  0.032746
0.994601:  18: 0.999021; 0.000049* 683.168899= 0.033460;  0.033460/0.994601=  0.033642
0.993483:  20: 0.998876; 0.000053* 644.588412= 0.034282;  0.034282/0.993483=  0.034507
0.992207:  22: 0.998716; 0.000058* 609.640883= 0.035201;  0.035201/0.992207=  0.035478
0.990777:  25: 0.998558; 0.000061* 577.459637= 0.035363;  0.035363/0.990777=  0.035692
0.989165:  27: 0.998373; 0.000066* 547.979703= 0.036242;  0.036242/0.989165=  0.036639
0.987360:  30: 0.998175; 0.000071* 521.269715= 0.037056;  0.037056/0.987360=  0.037531
0.985371:  33: 0.997986; 0.000075* 495.471897= 0.036931;  0.036931/0.985371=  0.037479
0.983184:  35: 0.997781; 0.000079* 472.699455= 0.037110;  0.037110/0.983184=  0.037745
0.980798:  38: 0.997573; 0.000082* 451.682049= 0.037008;  0.037008/0.980798=  0.037733
