# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-100-time_quadratic.txt
# order     : 1
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99981529    0
# 0.99969620    1
# 0.99953145    2
# 0.99930996    3
# 0.99901235    5
# 0.99862993    7
# 0.99813807    8
# 0.99751961   10
# 0.99675131   13
# 0.99580753   15
# 0.99466693   18
# 0.99329579   20
# 0.99166685   23
# 0.98974973   26
# 0.98750734   30
# 0.98490953   33
# 0.98191702   37
# 0.97849500   41
# 0.97460449   45
# 0.97020745   49
# 0.96526349   54
# 0.95973396   58
# 0.95357776   63
# 0.94675821   68
# 0.93923765   73
# 0.93097502   79
# 0.92194039   84
# 0.91209573   90
# 0.90141374   96
# 0.88986635  102
# 0.87742943  109
# 0.86408037  115
# 0.84980732  122
# 0.83459920  129
# 0.81845039  136
# 0.80136335  143
# 0.78334761  151
# 0.76441401  158
# 0.74458891  166
# 0.72390139  174
# 0.70238960  182
# 0.68009895  191
# 0.65708250  199
# 0.63340271  208
# 0.60912889  217
# 0.58433783  226
# 0.55911332  235
# 0.53354198  245
# 0.50772280  255
# 0.48175344  265
# 0.45573676  275
# 0.42977899  285
# 0.40398845  295
# 0.37847036  306
# 0.35333231  317
# 0.32867697  328
# 0.30460387  339
# 0.28120822  350
# 0.25857562  362
# 0.23678829  374
# 0.21591711  386
# 0.19602349  398
# 0.17716001  410
# 0.15936618  423
# 0.14267248  436
# 0.12709631  448
# 0.11264504  461
# 0.09931426  475
# 0.08708974  488
# 0.07594710  502
# 0.06585336  516
# 0.05676719  530
# 0.04864064  544
# 0.04142054  558
# 0.03504879  573
# 0.02946457  588
# 0.02460498  603
# 0.02040645  618
# 0.01680579  633
# 0.01374107  649
# 0.01115256  664
# 0.00898346  680
# 0.00718040  696
# 0.00569389  713
# 0.00447862  729
# 0.00349358  746
# 0.00270215  763
# 0.00207191  780
# 0.00157460  797
# 0.00118584  814
# 0.00088481  832
# 0.00065396  850
# 0.00047868  868
# 0.00034693  886
# 0.00024891  904
# 0.00017675  923
# 0.00012419  941
# 0.00008633  960
# 0.00005936  979
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:285.986438 = 285.986433 + 0.000005
# loss_var     : 357.762422 => 285.986433
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999986:   0: 0.999986; 0.000014*1860.034878= 0.025168;  0.025168/0.999986=  0.025168
0.999946:   0: 0.999959; 0.000014*1787.310246= 0.024236;  0.024236/0.999946=  0.024237
0.999876:   0: 0.999930; 0.000014*1662.576058= 0.023637;  0.023637/0.999876=  0.023640
0.999775:   1: 0.999898; 0.000015*1485.540144= 0.022404;  0.022404/0.999775=  0.022409
0.999640:   1: 0.999866; 0.000016*1357.799901= 0.021210;  0.021210/0.999640=  0.021218
0.999473:   3: 0.999833; 0.000016*1255.997456= 0.019957;  0.019957/0.999473=  0.019967
0.999271:   4: 0.999798; 0.000016*1170.219103= 0.019140;  0.019140/0.999271=  0.019154
0.999032:   5: 0.999760; 0.000017*1094.925092= 0.018616;  0.018616/0.999032=  0.018634
0.998757:   6: 0.999724; 0.000017*1029.410743= 0.017768;  0.017768/0.998757=  0.017790
0.998441:   7: 0.999684; 0.000018* 971.364296= 0.017349;  0.017349/0.998441=  0.017376
0.998084:   9: 0.999642; 0.000018* 919.675899= 0.016991;  0.016991/0.998084=  0.017024
0.997682:  10: 0.999598; 0.000019* 873.381124= 0.016748;  0.016748/0.997682=  0.016787
0.997235:  11: 0.999552; 0.000020* 831.059882= 0.016456;  0.016456/0.997235=  0.016502
0.996742:  13: 0.999505; 0.000020* 792.875388= 0.016132;  0.016132/0.996742=  0.016184
0.996195:  14: 0.999451; 0.000021* 758.531195= 0.016208;  0.016208/0.996195=  0.016270
0.995597:  16: 0.999400; 0.000022* 725.588581= 0.015950;  0.015950/0.995597=  0.016021
0.994946:  17: 0.999346; 0.000023* 696.892656= 0.015769;  0.015769/0.994946=  0.015850
0.994238:  18: 0.999289; 0.000023* 669.129960= 0.015679;  0.015679/0.994238=  0.015770
0.993468:  20: 0.999226; 0.000024* 644.147335= 0.015714;  0.015714/0.993468=  0.015817
0.992639:  22: 0.999165; 0.000025* 620.534587= 0.015586;  0.015586/0.992639=  0.015702
0.991748:  23: 0.999102; 0.000026* 598.804280= 0.015468;  0.015468/0.991748=  0.015597
0.990784:  25: 0.999028; 0.000027* 577.597625= 0.015653;  0.015653/0.990784=  0.015799
0.989744:  26: 0.998950; 0.000028* 558.140881= 0.015807;  0.015807/0.989744=  0.015971
0.988636:  28: 0.998881; 0.000029* 539.506050= 0.015649;  0.015649/0.988636=  0.015829
0.987465:  30: 0.998816; 0.000029* 522.814351= 0.015352;  0.015352/0.987465=  0.015547
0.986232:  32: 0.998751; 0.000030* 505.746695= 0.015006;  0.015006/0.986232=  0.015216
0.984895:  33: 0.998644; 0.000032* 490.367608= 0.015635;  0.015635/0.984895=  0.015875
