# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-100-time_uniform.txt
# order     : 1
# steps     : 100
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99780953    9
# 0.99374515   19
# 0.98773104   29
# 0.97980201   39
# 0.97000456   49
# 0.95839578   59
# 0.94504291   69
# 0.93002242   79
# 0.91341996   89
# 0.89532876   99
# 0.87584955  109
# 0.85508835  119
# 0.83315718  129
# 0.81017196  139
# 0.78625154  149
# 0.76151741  159
# 0.73609179  169
# 0.71009684  179
# 0.68365443  189
# 0.65688461  199
# 0.62990409  209
# 0.60282707  219
# 0.57576317  229
# 0.54881668  239
# 0.52208734  249
# 0.49566865  259
# 0.46964699  269
# 0.44410276  279
# 0.41910926  289
# 0.39473221  299
# 0.37103009  309
# 0.34805411  319
# 0.32584825  329
# 0.30444932  339
# 0.28388688  349
# 0.26418364  359
# 0.24535610  369
# 0.22741453  379
# 0.21036287  389
# 0.19420020  399
# 0.17892064  409
# 0.16451302  419
# 0.15096261  429
# 0.13825075  439
# 0.12635562  449
# 0.11525249  459
# 0.10491432  469
# 0.09531191  479
# 0.08641478  489
# 0.07819104  499
# 0.07060788  509
# 0.06363231  519
# 0.05723079  529
# 0.05136989  539
# 0.04601666  549
# 0.04113853  559
# 0.03670358  569
# 0.03268099  579
# 0.02904078  589
# 0.02575418  599
# 0.02279360  609
# 0.02013281  619
# 0.01774685  629
# 0.01561221  639
# 0.01370668  649
# 0.01200952  659
# 0.01050132  669
# 0.00916405  679
# 0.00798096  689
# 0.00693661  699
# 0.00601678  709
# 0.00520841  719
# 0.00449956  729
# 0.00387935  739
# 0.00333788  749
# 0.00286620  759
# 0.00245621  769
# 0.00210062  779
# 0.00179288  789
# 0.00152714  799
# 0.00129816  809
# 0.00110129  819
# 0.00093239  829
# 0.00078780  839
# 0.00066428  849
# 0.00055900  859
# 0.00046946  869
# 0.00039346  879
# 0.00032910  889
# 0.00027471  899
# 0.00022884  909
# 0.00019025  919
# 0.00015784  929
# 0.00013069  939
# 0.00010799  949
# 0.00008906  959
# 0.00007329  969
# 0.00006020  979
# 0.00004934  989
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:165.774297 = 165.771061 + 0.003235
# loss_var     : 221.595616 => 165.771061
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999892:   0: 0.999892; 0.000108*1691.693241= 0.182068;  0.182068/0.999892=  0.182088
0.999481:   3: 0.999588; 0.000154*1259.209371= 0.194183;  0.194183/0.999481=  0.194284
0.998676:   6: 0.999195; 0.000185*1012.396958= 0.187543;  0.187543/0.998676=  0.187791
0.997399:  11: 0.998722; 0.000214* 845.383037= 0.180911;  0.180911/0.997399=  0.181383
0.995546:  16: 0.998141; 0.000249* 723.236854= 0.180375;  0.180375/0.995546=  0.181182
0.993116:  21: 0.997559; 0.000266* 633.611406= 0.168567;  0.168567/0.993116=  0.169736
0.989128:  27: 0.995985; 0.000461* 547.339796= 0.252143;  0.252143/0.989128=  0.254915
0.983237:  35: 0.994044; 0.000651* 473.212598= 0.308096;  0.308096/0.983237=  0.313349
0.975456:  44: 0.992087; 0.000768* 414.316057= 0.318025;  0.318025/0.975456=  0.326027
0.965834:  53: 0.990136; 0.000838* 366.985102= 0.307553;  0.307553/0.965834=  0.318432
0.954415:  63: 0.988176; 0.000886* 328.672944= 0.291162;  0.291162/0.954415=  0.305069
0.941278:  72: 0.986235; 0.000918* 297.906484= 0.273405;  0.273405/0.941278=  0.290462
0.926481:  82: 0.984280; 0.000944* 271.475499= 0.256359;  0.256359/0.926481=  0.276702
0.910127:  91: 0.982349; 0.000964* 249.329765= 0.240327;  0.240327/0.910127=  0.264059
0.892297: 101: 0.980409; 0.000983* 230.383944= 0.226352;  0.226352/0.892297=  0.253674
0.873086: 111: 0.978470; 0.001000* 213.905093= 0.213879;  0.213879/0.873086=  0.244969
0.852612: 121: 0.976550; 0.001015* 198.988565= 0.202023;  0.202023/0.852612=  0.236946
0.830967: 130: 0.974613; 0.001032* 186.040132= 0.192053;  0.192053/0.830967=  0.231120
0.808274: 140: 0.972691; 0.001049* 174.438333= 0.182912;  0.182912/0.808274=  0.226300
0.784654: 150: 0.970778; 0.001065* 163.835856= 0.174475;  0.174475/0.784654=  0.222359
0.760220: 160: 0.968860; 0.001083* 154.362520= 0.167103;  0.167103/0.760220=  0.219809
0.735086: 170: 0.966938; 0.001101* 145.765597= 0.160551;  0.160551/0.735086=  0.218411
0.709376: 180: 0.965025; 0.001121* 137.609271= 0.154227;  0.154227/0.709376=  0.217413
0.683220: 189: 0.963128; 0.001140* 130.164756= 0.148428;  0.148428/0.683220=  0.217247
0.656732: 199: 0.961230; 0.001161* 123.262122= 0.143138;  0.143138/0.656732=  0.217955
0.630021: 209: 0.959327; 0.001184* 116.864359= 0.138349;  0.138349/0.630021=  0.219594
0.603204: 219: 0.957435; 0.001207* 110.905927= 0.133881;  0.133881/0.603204=  0.221950
