# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-010-logSNR.txt
# order     : 2
# steps     : 10
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99930942    3
# 0.99524850   16
# 0.96806991   51
# 0.81441778  138
# 0.38845772  302
# 0.08420218  492
# 0.01313375  652
# 0.00192265  784
# 0.00027876  898
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:6417.925071 = 6417.906735 + 0.018336
# loss_var     : 7170.879395 => 6417.906735
# model.learning_portion: 0.01
# model.out_channels    : 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.998623:   7: 0.998623; 0.0     *   0.0     = 0.0     ;  0.0     /0.998623=  0.0     
0.994025:  19: 0.995396; 0.005975*1002.146204= 5.987970;  5.987970/0.994025=  6.023965
0.976816:  43: 0.982688; 0.0     *   0.0     = 0.0     ;  0.0     /0.976816=  0.0     
0.831542: 130: 0.851278; 0.115421* 422.964052=48.818814; 48.818814/0.831542= 58.708756
0.404940: 295: 0.486975; 0.0     *   0.0     = 0.0     ;  0.0     /0.404940=  0.0     
0.091824: 483: 0.226760; 0.666824*  75.025884=50.029040; 50.029040/0.091824=544.834840
0.015241: 641: 0.165978; 0.0     *   0.0     = 0.0     ;  0.0     /0.015241=  0.0     
0.002384: 771: 0.156390; 0.714481*   7.150961= 5.109226;  5.109226/0.002384=2143.569614
0.000369: 882: 0.154987; 0.0     *   0.0     = 0.0     ;  0.0     /0.000369=  0.0     
0.000057: 981: 0.154784; 0.714483*   0.293287= 0.209548;  0.209548/0.000057=3664.769561
