# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-010-time_quadratic.txt
# order     : 2
# steps     : 10
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99580753   15
# 0.97020745   49
# 0.88986635  102
# 0.72390139  174
# 0.48175356  265
# 0.23678841  374
# 0.07594710  502
# 0.01374107  649
# 0.00118584  814
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 002000; loss:15287.127867 = 15287.106406 + 0.021460
# loss_var     : 20755.409882 => 15287.106406
# model.learning_portion: 0.01
# model.out_channels    : 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.991715:  23: 0.991715; 0.0     *   0.0     = 0.0     ;  0.0     /0.991715=  0.0     
0.956561:  61: 0.964552; 0.043439* 598.038456=25.978006; 25.978006/0.956561= 27.157701
0.868078: 113: 0.907499; 0.0     *   0.0     = 0.0     ;  0.0     /0.868078=  0.0     
0.697690: 184: 0.803718; 0.138257* 210.083476=29.045616; 29.045616/0.697690= 41.631114
0.457511: 274: 0.655751; 0.0     *   0.0     = 0.0     ;  0.0     /0.457511=  0.0     
0.220373: 383: 0.481677; 0.329424*  83.624706=27.547953; 27.547953/0.220373=125.006291
0.068510: 512: 0.310883; 0.0     *   0.0     = 0.0     ;  0.0     /0.068510=  0.0     
0.012959: 653: 0.189150; 0.607441*  21.165608=12.856864; 12.856864/0.012959=992.140764
0.001219: 813: 0.094062; 0.0     *   0.0     = 0.0     ;  0.0     /0.001219=  0.0     
0.000054: 984: 0.044035; 0.876158*   0.863861= 0.756879;  0.756879/0.000054=14101.170537
