# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-010-time_uniform.txt
# order     : 2
# steps     : 10
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.89532876   99
# 0.65688461  199
# 0.39473221  299
# 0.19420025  399
# 0.07819104  499
# 0.02575418  599
# 0.00693662  699
# 0.00152714  799
# 0.00027471  899
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:5401.558354 = 5401.538451 + 0.019903
# loss_var     : 6055.783559 => 5401.538451
# model.learning_portion: 0.01
# model.out_channels    : 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.905320:  94: 0.905320; 0.0     *   0.0     = 0.0     ;  0.0     /0.905320=  0.0     
0.673266: 193: 0.743677; 0.326734* 244.056927=79.741790; 79.741790/0.673266=118.440314
0.411307: 292: 0.610913; 0.0     *   0.0     = 0.0     ;  0.0     /0.411307=  0.0     
0.206467: 391: 0.501978; 0.329780*  76.150703=25.112944; 25.112944/0.206467=121.631909
0.085194: 490: 0.412629; 0.0     *   0.0     = 0.0     ;  0.0     /0.085194=  0.0     
0.028913: 589: 0.339374; 0.425217*  24.521226=10.426837; 10.426837/0.028913=360.631626
0.008076: 688: 0.279339; 0.0     *   0.0     = 0.0     ;  0.0     /0.008076=  0.0     
0.001859: 786: 0.230156; 0.561308*   4.360910= 2.447814;  2.447814/0.001859=1316.850534
0.000353: 885: 0.189885; 0.0     *   0.0     = 0.0     ;  0.0     /0.000353=  0.0     
0.000055: 983: 0.156918; 0.684783*   0.281793= 0.192967;  0.192967/0.000055=3483.984067
