# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-015-logSNR.txt
# order     : 2
# steps     : 15
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99888092    6
# 0.99626458   14
# 0.98760682   30
# 0.95969546   58
# 0.87676746  109
# 0.68008983  191
# 0.38845789  302
# 0.15952268  423
# 0.05366839  535
# 0.01666312  634
# 0.00503779  721
# 0.00151062  799
# 0.00045185  871
# 0.00013506  937
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:3515.246092 = 3515.224502 + 0.021591
# loss_var     : 3838.755802 => 3515.224502
# model.learning_portion: 0.01
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.997766:  10: 0.997766; 0.002234* 882.135658= 1.970691;  1.970691/0.997766=  1.975103
0.992554:  22: 0.994776; 0.0     *   0.0     = 0.0     ;  0.0     /0.992554=  0.0     
0.976339:  43: 0.983663; 0.011463* 618.385066= 7.088743;  7.088743/0.976339=  7.260536
0.952455:  64: 0.975537; 0.0     *   0.0     = 0.0     ;  0.0     /0.952455=  0.0     
0.879648: 107: 0.923559; 0.040366* 323.669564=13.065109; 13.065109/0.879648= 14.852661
0.691109: 187: 0.785665; 0.0     *   0.0     = 0.0     ;  0.0     /0.691109=  0.0     
0.401659: 296: 0.581180; 0.290630* 132.255567=38.437474; 38.437474/0.401659= 95.696800
0.168959: 416: 0.420652; 0.0     *   0.0     = 0.0     ;  0.0     /0.168959=  0.0     
0.058532: 527: 0.346429; 0.455634*  39.211384=17.866026; 17.866026/0.058532=305.234036
0.018758: 624: 0.320480; 0.0     *   0.0     = 0.0     ;  0.0     /0.018758=  0.0     
0.005859: 711: 0.312331; 0.476218*   8.381626= 3.991484;  3.991484/0.005859=681.276203
0.001815: 788: 0.309856; 0.0     *   0.0     = 0.0     ;  0.0     /0.001815=  0.0     
0.000561: 858: 0.309115; 0.477678*   1.236987= 0.590881;  0.590881/0.000561=1052.954267
0.000173: 924: 0.308903; 0.0     *   0.0     = 0.0     ;  0.0     /0.000173=  0.0     
0.000054: 984: 0.308830; 0.477749*   0.151944= 0.072591;  0.072591/0.000054=1355.974896
