# Old comments in file ./output7_vividvar/dpm_alphaBar_2-015-time_uniform.txt
# order     : 2
# steps     : 15
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.94968152   66
# 0.82560641  133
# 0.65688461  199
# 0.47827139  266
# 0.31862485  332
# 0.19420020  399
# 0.10827720  466
# 0.05521875  532
# 0.02575418  599
# 0.01098423  666
# 0.00428348  732
# 0.00152714  799
# 0.00049770  865
# 0.00014825  932
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 10198334143911594321
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:3305.654272 = 3305.626435 + 0.027837
# loss_var     : 3474.670472 => 3305.626435
# model.learning_portion: 0.005
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.954664:  62: 0.954664; 0.045336* 329.388774=14.933010; 14.933010/0.954664= 15.642155
0.834705: 129: 0.874343; 0.0     *   0.0     = 0.0     ;  0.0     /0.834705=  0.0     
0.668293: 195: 0.800634; 0.158240* 188.368355=29.807410; 29.807410/0.668293= 44.602331
0.489915: 261: 0.733085; 0.0     *   0.0     = 0.0     ;  0.0     /0.489915=  0.0     
0.328829: 328: 0.671196; 0.172434*  89.138181=15.370465; 15.370465/0.328829= 46.742994
0.202062: 394: 0.614491; 0.0     *   0.0     = 0.0     ;  0.0     /0.202062=  0.0     
0.113670: 461: 0.562551; 0.211393*  44.465380= 9.399658;  9.399658/0.113670= 82.692163
0.058537: 527: 0.514972; 0.0     *   0.0     = 0.0     ;  0.0     /0.058537=  0.0     
0.027594: 593: 0.471400; 0.272744*  18.976582= 5.175744;  5.175744/0.027594=187.564681
0.011907: 659: 0.431500; 0.0     *   0.0     = 0.0     ;  0.0     /0.011907=  0.0     
0.004703: 726: 0.394965; 0.348753*   5.949651= 2.074957;  2.074957/0.004703=441.212305
0.001700: 792: 0.361517; 0.0     *   0.0     = 0.0     ;  0.0     /0.001700=  0.0     
0.000563: 858: 0.330903; 0.428582*   1.169777= 0.501345;  0.501345/0.000563=891.141855
0.000170: 924: 0.302869; 0.0     *   0.0     = 0.0     ;  0.0     /0.000170=  0.0     
0.000047: 991: 0.277242; 0.504505*   0.149444= 0.075395;  0.075395/0.000047=1596.027949
