# Old comments in file ./output7_vividvar/dpm_alphaBar_2-016-time_uniform.txt
# order     : 2
# steps     : 16
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.95521653   62
# 0.84426177  124
# 0.69029993  187
# 0.52208734  249
# 0.36521634  312
# 0.23627421  374
# 0.14135151  437
# 0.07819099  499
# 0.03998954  561
# 0.01890697  624
# 0.00826315  686
# 0.00333788  749
# 0.00124611  811
# 0.00042989  874
# 0.00013703  936
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 4024635736392713341
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:2940.104682 = 2940.084316 + 0.020366
# loss_var     : 3248.617790 => 2940.084316
# model.learning_portion: 0.01
# model.out_channels    : 16
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.955235:  62: 0.955235; 0.0     *   0.0     = 0.0     ;  0.0     /0.955235=  0.0     
0.853824: 120: 0.893837; 0.146176* 331.106556=48.399710; 48.399710/0.853824= 56.685793
0.706649: 181: 0.827628; 0.0     *   0.0     = 0.0     ;  0.0     /0.706649=  0.0     
0.541513: 242: 0.766312; 0.138858* 136.866533=19.005054; 19.005054/0.541513= 35.096178
0.384217: 304: 0.709524; 0.0     *   0.0     = 0.0     ;  0.0     /0.384217=  0.0     
0.252406: 365: 0.656937; 0.161887*  71.808764=11.624879; 11.624879/0.252406= 46.056244
0.153525: 427: 0.608246; 0.0     *   0.0     = 0.0     ;  0.0     /0.153525=  0.0     
0.086460: 489: 0.563162; 0.202273*  36.736219= 7.430747;  7.430747/0.086460= 85.944766
0.045083: 551: 0.521430; 0.0     *   0.0     = 0.0     ;  0.0     /0.045083=  0.0     
0.021766: 613: 0.482795; 0.259587*  15.785951= 4.097831;  4.097831/0.021766=188.270520
0.009730: 674: 0.447039; 0.0     *   0.0     = 0.0     ;  0.0     /0.009730=  0.0     
0.004028: 736: 0.413946; 0.327775*   5.079144= 1.664819;  1.664819/0.004028=413.338440
0.001544: 798: 0.383322; 0.0     *   0.0     = 0.0     ;  0.0     /0.001544=  0.0     
0.000548: 860: 0.354985; 0.398904*   1.074678= 0.428693;  0.428693/0.000548=782.189756
0.000180: 922: 0.328755; 0.0     *   0.0     = 0.0     ;  0.0     /0.000180=  0.0     
0.000055: 983: 0.304534; 0.467373*   0.156439= 0.073115;  0.073115/0.000055=1332.502620
