# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-020-logSNR.txt
# order     : 2
# steps     : 20
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99973720    1
# 0.99930942    3
# 0.99818689    8
# 0.99524850   16
# 0.98760682   30
# 0.96806973   51
# 0.92022163   85
# 0.81441778  138
# 0.62541300  211
# 0.38845780  302
# 0.19463225  399
# 0.08420218  492
# 0.03379831  576
# 0.01313375  652
# 0.00503780  721
# 0.00192265  784
# 0.00073236  843
# 0.00027875  898
# 0.00010607  949
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:2706.515308 = 2706.494763 + 0.020545
# loss_var     : 2968.414405 => 2706.494763
# model.learning_portion: 0.01
# model.out_channels    : 20
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999481:   3: 0.999481; 0.0     *   0.0     = 0.0     ;  0.0     /0.999481=  0.0     
0.998777:   6: 0.999296; 0.001223*1259.164768= 1.540458;  1.540458/0.998777=  1.542345
0.996561:  13: 0.997782; 0.0     *   0.0     = 0.0     ;  0.0     /0.996561=  0.0     
0.992941:  21: 0.996367; 0.002415* 781.105006= 1.886484;  1.886484/0.992941=  1.899895
0.982619:  36: 0.989605; 0.0     *   0.0     = 0.0     ;  0.0     /0.982619=  0.0     
0.972950:  47: 0.990161; 0.006609* 467.378927= 3.089136;  3.089136/0.972950=  3.175019
0.934580:  77: 0.960563; 0.0     *   0.0     = 0.0     ;  0.0     /0.934580=  0.0     
0.836465: 128: 0.895016; 0.063453* 284.978849=18.082753; 18.082753/0.836465= 21.618069
0.650704: 202: 0.777921; 0.0     *   0.0     = 0.0     ;  0.0     /0.650704=  0.0     
0.410671: 293: 0.631118; 0.234570* 121.748933=28.558621; 28.558621/0.410671= 69.541369
0.209867: 389: 0.511035; 0.0     *   0.0     = 0.0     ;  0.0     /0.209867=  0.0     
0.092891: 482: 0.442620; 0.344940*  45.645554=15.744968; 15.744968/0.092891=169.498551
0.038215: 565: 0.411393; 0.0     *   0.0     = 0.0     ;  0.0     /0.038215=  0.0     
0.015232: 641: 0.398591; 0.368060*  14.058064= 5.174214;  5.174214/0.015232=339.691490
0.005995: 709: 0.393575; 0.0     *   0.0     = 0.0     ;  0.0     /0.005995=  0.0     
0.002348: 772: 0.391644; 0.371147*   3.428489= 1.272475;  1.272475/0.002348=541.964076
0.000918: 830: 0.390910; 0.0     *   0.0     = 0.0     ;  0.0     /0.000918=  0.0     
0.000359: 884: 0.390618; 0.371509*   0.670125= 0.248958;  0.248958/0.000359=694.412639
0.000140: 935: 0.390518; 0.0     *   0.0     = 0.0     ;  0.0     /0.000140=  0.0     
0.000055: 983: 0.390503; 0.371529*   0.127018= 0.047191;  0.047191/0.000055=863.151309
