# Old comments in file ./output7_vividvar/dpm_alphaBar_2-050-time_quadratic.txt
# order     : 2
# steps     : 50
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99969620    1
# 0.99930996    3
# 0.99862993    7
# 0.99751961   10
# 0.99580753   15
# 0.99329579   20
# 0.98974973   26
# 0.98490953   33
# 0.97849500   41
# 0.97020745   49
# 0.95973396   58
# 0.94675821   68
# 0.93097502   79
# 0.91209573   90
# 0.88986635  102
# 0.86408037  115
# 0.83459920  129
# 0.80136335  143
# 0.76441401  158
# 0.72390133  174
# 0.68009883  191
# 0.63340271  208
# 0.58433783  226
# 0.53354198  245
# 0.48175344  265
# 0.42977899  285
# 0.37847048  306
# 0.32867709  328
# 0.28120852  350
# 0.23678841  374
# 0.19602349  398
# 0.15936618  423
# 0.12709635  448
# 0.09931426  475
# 0.07594710  502
# 0.05676719  530
# 0.04142060  558
# 0.02946457  588
# 0.02040645  618
# 0.01374107  649
# 0.00898348  680
# 0.00569389  713
# 0.00349358  746
# 0.00207191  780
# 0.00118584  814
# 0.00065396  850
# 0.00034693  886
# 0.00017675  923
# 0.00008633  960
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 15354345900192916923
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:2344.955354 = 2344.946258 + 0.009096
# loss_var     : 2709.643461 => 2344.946258
# model.learning_portion: 0.01
# model.out_channels    : 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999832:   0: 0.999832; 0.0     *   0.0     = 0.0     ;  0.0     /0.999832=  0.0     
0.999825:   0: 0.999993; 0.000175*3156.056285= 0.551572;  0.551572/0.999825=  0.551668
0.999279:   4: 0.999454; 0.0     *   0.0     = 0.0     ;  0.0     /0.999279=  0.0     
0.999240:   4: 0.999961; 0.000206*2332.400484= 0.480254;  0.480254/0.999240=  0.480619
0.998186:   8: 0.998945; 0.0     *   0.0     = 0.0     ;  0.0     /0.998186=  0.0     
0.998105:   8: 0.999919; 0.000255*1855.897875= 0.473915;  0.473915/0.998105=  0.474814
0.996419:  13: 0.998311; 0.0     *   0.0     = 0.0     ;  0.0     /0.996419=  0.0     
0.996299:  14: 0.999879; 0.000301*1536.528171= 0.462421;  0.462421/0.996299=  0.464139
0.993847:  19: 0.997539; 0.0     *   0.0     = 0.0     ;  0.0     /0.993847=  0.0     
0.993696:  20: 0.999849; 0.000347*1307.240869= 0.454089;  0.454089/0.993696=  0.456970
0.992877:  21: 0.999176; 0.0     *   0.0     = 0.0     ;  0.0     /0.992877=  0.0     
0.989360:  27: 0.996458; 0.000573*1178.400482= 0.674737;  0.674737/0.989360=  0.681993
0.982755:  36: 0.993324; 0.0     *   0.0     = 0.0     ;  0.0     /0.982755=  0.0     
0.972648:  47: 0.989716; 0.003982* 867.029789= 3.452917;  3.452917/0.972648=  3.550016
0.958665:  59: 0.985624; 0.0     *   0.0     = 0.0     ;  0.0     /0.958665=  0.0     
0.940468:  73: 0.981018; 0.006621* 637.909651= 4.223292;  4.223292/0.940468=  4.490627
0.917781:  87: 0.975877; 0.0     *   0.0     = 0.0     ;  0.0     /0.917781=  0.0     
0.890407: 102: 0.970173; 0.008768* 487.458594= 4.274225;  4.274225/0.890407=  4.800305
0.858252: 118: 0.963888; 0.0     *   0.0     = 0.0     ;  0.0     /0.858252=  0.0     
