# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-050-time_uniform.txt
# order     : 2
# steps     : 50
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99374515   19
# 0.97980201   39
# 0.95839578   59
# 0.93002242   79
# 0.89532876   99
# 0.85508835  119
# 0.81017190  139
# 0.76151741  159
# 0.71009684  179
# 0.65688461  199
# 0.60282701  219
# 0.54881662  239
# 0.49566856  259
# 0.44410270  279
# 0.39473221  299
# 0.34805411  319
# 0.30444926  339
# 0.26418364  359
# 0.22741453  379
# 0.19420029  399
# 0.16451307  419
# 0.13825080  439
# 0.11525247  459
# 0.09531191  479
# 0.07819104  499
# 0.06363231  519
# 0.05136989  539
# 0.04113851  559
# 0.03268097  579
# 0.02575416  599
# 0.02013281  619
# 0.01561221  639
# 0.01200952  659
# 0.00916405  679
# 0.00693662  699
# 0.00520841  719
# 0.00387935  739
# 0.00286620  759
# 0.00210062  779
# 0.00152714  799
# 0.00110129  819
# 0.00078780  839
# 0.00055900  859
# 0.00039346  879
# 0.00027471  899
# 0.00019025  919
# 0.00013069  939
# 0.00008906  959
# 0.00006020  979
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:804.465674 = 804.458768 + 0.006907
# loss_var     : 952.949389 => 804.458768
# model.learning_portion: 0.01
# model.out_channels    : 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.994229:  19: 0.994229; 0.0     *   0.0     = 0.0     ;  0.0     /0.994229=  0.0     
0.990216:  26: 0.995964; 0.009784* 668.790089= 6.543400;  6.543400/0.990216=  6.608053
0.978467:  41: 0.988135; 0.0     *   0.0     = 0.0     ;  0.0     /0.978467=  0.0     
0.959275:  59: 0.980385; 0.010909* 434.083690= 4.735633;  4.735633/0.959275=  4.936680
0.933070:  77: 0.972682; 0.0     *   0.0     = 0.0     ;  0.0     /0.933070=  0.0     
0.900453:  97: 0.965044; 0.014398* 282.570071= 4.068405;  4.068405/0.900453=  4.518176
0.862147: 116: 0.957459; 0.0     *   0.0     = 0.0     ;  0.0     /0.862147=  0.0     
0.818982: 136: 0.949934; 0.015516* 205.642409= 3.190730;  3.190730/0.818982=  3.895970
0.771861: 155: 0.942464; 0.0     *   0.0     = 0.0     ;  0.0     /0.771861=  0.0     
0.721730: 175: 0.935051; 0.016412* 158.762659= 2.605684;  2.605684/0.721730=  3.610333
0.669543: 195: 0.927693; 0.0     *   0.0     = 0.0     ;  0.0     /0.669543=  0.0     
0.616243: 214: 0.920393; 0.017435* 126.368554= 2.203194;  2.203194/0.616243=  3.575206
0.562720: 234: 0.913146; 0.0     *   0.0     = 0.0     ;  0.0     /0.562720=  0.0     
0.509799: 254: 0.905955; 0.018686* 102.506983= 1.915483;  1.915483/0.509799=  3.757332
0.458217: 274: 0.898819; 0.0     *   0.0     = 0.0     ;  0.0     /0.458217=  0.0     
0.408608: 293: 0.891736; 0.020221*  83.738283= 1.693305;  1.693305/0.408608=  4.144077
