# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-100-time_quadratic.txt
# order     : 2
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99981529    0
# 0.99969620    1
# 0.99953145    2
# 0.99930996    3
# 0.99901235    5
# 0.99862993    7
# 0.99813807    8
# 0.99751961   10
# 0.99675131   13
# 0.99580753   15
# 0.99466693   18
# 0.99329579   20
# 0.99166685   23
# 0.98974973   26
# 0.98750734   30
# 0.98490953   33
# 0.98191702   37
# 0.97849500   41
# 0.97460449   45
# 0.97020745   49
# 0.96526349   54
# 0.95973396   58
# 0.95357776   63
# 0.94675821   68
# 0.93923771   73
# 0.93097502   79
# 0.92194039   84
# 0.91209573   90
# 0.90141374   96
# 0.88986635  102
# 0.87742943  109
# 0.86408037  115
# 0.84980738  122
# 0.83459920  129
# 0.81845039  136
# 0.80136335  143
# 0.78334761  151
# 0.76441401  158
# 0.74458891  166
# 0.72390139  174
# 0.70238966  182
# 0.68009895  191
# 0.65708250  199
# 0.63340271  208
# 0.60912895  217
# 0.58433783  226
# 0.55911338  235
# 0.53354198  245
# 0.50772280  255
# 0.48175344  265
# 0.45573676  275
# 0.42977899  285
# 0.40398845  295
# 0.37847036  306
# 0.35333216  317
# 0.32867697  328
# 0.30460387  339
# 0.28120822  350
# 0.25857562  362
# 0.23678829  374
# 0.21591695  386
# 0.19602349  398
# 0.17716001  410
# 0.15936618  423
# 0.14267248  436
# 0.12709631  448
# 0.11264493  461
# 0.09931426  475
# 0.08708974  488
# 0.07594710  502
# 0.06585336  516
# 0.05676719  530
# 0.04864064  544
# 0.04142054  558
# 0.03504874  573
# 0.02946457  588
# 0.02460498  603
# 0.02040645  618
# 0.01680579  633
# 0.01374107  649
# 0.01115256  664
# 0.00898346  680
# 0.00718039  696
# 0.00569389  713
# 0.00447862  729
# 0.00349358  746
# 0.00270215  763
# 0.00207191  780
# 0.00157460  797
# 0.00118584  814
# 0.00088481  832
# 0.00065396  850
# 0.00047868  868
# 0.00034693  886
# 0.00024891  904
# 0.00017675  923
# 0.00012419  941
# 0.00008633  960
# 0.00005936  979
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:650.982559 = 650.982554 + 0.000005
# loss_var     : 816.632357 => 650.982554
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999975:   0: 0.999975; 0.0     *   0.0     = 0.0     ;  0.0     /0.999975=  0.0     
0.999957:   0: 0.999982; 0.000043*1839.634558= 0.078899;  0.078899/0.999957=  0.078902
0.999826:   0: 0.999869; 0.0     *   0.0     = 0.0     ;  0.0     /0.999826=  0.0     
0.999803:   0: 0.999977; 0.000056*1573.216022= 0.088093;  0.088093/0.999803=  0.088110
0.999661:   1: 0.999858; 0.0     *   0.0     = 0.0     ;  0.0     /0.999661=  0.0     
0.999546:   2: 0.999885; 0.000053*1377.712850= 0.072789;  0.072789/0.999546=  0.072822
0.999294:   4: 0.999748; 0.0     *   0.0     = 0.0     ;  0.0     /0.999294=  0.0     
0.999147:   4: 0.999852; 0.000063*1177.925370= 0.073764;  0.073764/0.999147=  0.073827
0.998820:   6: 0.999672; 0.0     *   0.0     = 0.0     ;  0.0     /0.998820=  0.0     
0.998587:   7: 0.999767; 0.000070*1042.675836= 0.073326;  0.073326/0.998587=  0.073430
0.998109:   8: 0.999521; 0.0     *   0.0     = 0.0     ;  0.0     /0.998109=  0.0     
0.997831:   9: 0.999722; 0.000081* 922.776068= 0.074705;  0.074705/0.997831=  0.074867
0.997150:  11: 0.999317; 0.0     *   0.0     = 0.0     ;  0.0     /0.997150=  0.0     
0.996851:  12: 0.999700; 0.000092* 823.663097= 0.075454;  0.075454/0.996851=  0.075693
0.996215:  14: 0.999362; 0.0     *   0.0     = 0.0     ;  0.0     /0.996215=  0.0     
0.995669:  15: 0.999452; 0.000095* 759.746324= 0.071835;  0.071835/0.995669=  0.072147
0.994442:  18: 0.998768; 0.0     *   0.0     = 0.0     ;  0.0     /0.994442=  0.0     
0.994160:  19: 0.999716; 0.000114* 677.040545= 0.076936;  0.076936/0.994160=  0.077388
0.993050:  21: 0.998883; 0.0     *   0.0     = 0.0     ;  0.0     /0.993050=  0.0     
0.992406:  22: 0.999352; 0.000116* 631.789860= 0.073569;  0.073569/0.992406=  0.074132
0.990729:  25: 0.998310; 0.0     *   0.0     = 0.0     ;  0.0     /0.990729=  0.0     
0.990290:  26: 0.999557; 0.000132* 576.526843= 0.076131;  0.076131/0.990290=  0.076878
0.988656:  28: 0.998350; 0.0     *   0.0     = 0.0     ;  0.0     /0.988656=  0.0     
0.987865:  29: 0.999200; 0.000138* 539.822186= 0.074403;  0.074403/0.987865=  0.075317
0.985744:  32: 0.997853; 0.0     *   0.0     = 0.0     ;  0.0     /0.985744=  0.0     
0.985048:  33: 0.999294; 0.000151* 499.789152= 0.075307;  0.075307/0.985048=  0.076450
