# Old comments in file ./output7_vividvar/dpm_alphaBar_2-100-time_uniform.txt
# order     : 2
# steps     : 100
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99780953    9
# 0.99374515   19
# 0.98773104   29
# 0.97980201   39
# 0.97000456   49
# 0.95839578   59
# 0.94504291   69
# 0.93002242   79
# 0.91341996   89
# 0.89532876   99
# 0.87584955  109
# 0.85508835  119
# 0.83315718  129
# 0.81017196  139
# 0.78625154  149
# 0.76151741  159
# 0.73609179  169
# 0.71009684  179
# 0.68365443  189
# 0.65688461  199
# 0.62990409  209
# 0.60282707  219
# 0.57576317  229
# 0.54881668  239
# 0.52208734  249
# 0.49566865  259
# 0.46964699  269
# 0.44410276  279
# 0.41910937  289
# 0.39473221  299
# 0.37103009  309
# 0.34805411  319
# 0.32584834  329
# 0.30444932  339
# 0.28388688  349
# 0.26418364  359
# 0.24535610  369
# 0.22741453  379
# 0.21036287  389
# 0.19420020  399
# 0.17892069  409
# 0.16451302  419
# 0.15096261  429
# 0.13825075  439
# 0.12635559  449
# 0.11525249  459
# 0.10491432  469
# 0.09531191  479
# 0.08641478  489
# 0.07819104  499
# 0.07060793  509
# 0.06363231  519
# 0.05723077  529
# 0.05136989  539
# 0.04601666  549
# 0.04113853  559
# 0.03670360  569
# 0.03268099  579
# 0.02904078  589
# 0.02575418  599
# 0.02279360  609
# 0.02013281  619
# 0.01774685  629
# 0.01561221  639
# 0.01370670  649
# 0.01200952  659
# 0.01050132  669
# 0.00916405  679
# 0.00798096  689
# 0.00693661  699
# 0.00601678  709
# 0.00520841  719
# 0.00449956  729
# 0.00387935  739
# 0.00333788  749
# 0.00286620  759
# 0.00245621  769
# 0.00210062  779
# 0.00179288  789
# 0.00152714  799
# 0.00129817  809
# 0.00110129  819
# 0.00093239  829
# 0.00078780  839
# 0.00066428  849
# 0.00055900  859
# 0.00046946  869
# 0.00039346  879
# 0.00032910  889
# 0.00027471  899
# 0.00022884  909
# 0.00019025  919
# 0.00015784  929
# 0.00013069  939
# 0.00010799  949
# 0.00008906  959
# 0.00007329  969
# 0.00006020  979
# 0.00004934  989
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 15006727344867609481
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:664.703613 = 664.700297 + 0.003316
# loss_var     : 898.279815 => 664.700297
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999211:   4: 0.999211; 0.0     *   0.0     = 0.0     ;  0.0     /0.999211=  0.0     
0.999206:   4: 0.999996; 0.000794*2298.097227= 1.823699;  1.823699/0.999206=  1.825147
0.996370:  14: 0.997161; 0.0     *   0.0     = 0.0     ;  0.0     /0.996370=  0.0     
0.996346:  14: 0.999977; 0.001044*1536.387973= 1.604398;  1.604398/0.996346=  1.610282
0.992965:  21: 0.996607; 0.0     *   0.0     = 0.0     ;  0.0     /0.992965=  0.0     
0.990965:  25: 0.997985; 0.001209*1210.615377= 1.463698;  1.463698/0.990965=  1.477043
0.987050:  30: 0.996049; 0.0     *   0.0     = 0.0     ;  0.0     /0.987050=  0.0     
0.981219:  38: 0.994093; 0.001803* 971.938089= 1.752123;  1.752123/0.981219=  1.785659
0.973504:  46: 0.992137; 0.0     *   0.0     = 0.0     ;  0.0     /0.973504=  0.0     
0.963947:  55: 0.990183; 0.002921* 763.205819= 2.229256;  2.229256/0.963947=  2.312634
0.952603:  64: 0.988231; 0.0     *   0.0     = 0.0     ;  0.0     /0.952603=  0.0     
0.939537:  73: 0.986285; 0.003415* 618.533296= 2.111999;  2.111999/0.939537=  2.247914
0.924824:  83: 0.984340; 0.0     *   0.0     = 0.0     ;  0.0     /0.924824=  0.0     
0.908548:  92: 0.982400; 0.003673* 516.601262= 1.897703;  1.897703/0.908548=  2.088722
0.890796: 102: 0.980462; 0.0     *   0.0     = 0.0     ;  0.0     /0.890796=  0.0     
0.871670: 111: 0.978529; 0.003847* 441.383753= 1.697864;  1.697864/0.871670=  1.947829
0.851273: 121: 0.976600; 0.0     *   0.0     = 0.0     ;  0.0     /0.851273=  0.0     
0.829712: 131: 0.974672; 0.003989* 383.610775= 1.530114;  1.530114/0.829712=  1.844151
0.807101: 141: 0.972749; 0.0     *   0.0     = 0.0     ;  0.0     /0.807101=  0.0     
0.783558: 150: 0.970830; 0.004124* 337.370911= 1.391178;  1.391178/0.783558=  1.775462
0.759200: 160: 0.968914; 0.0     *   0.0     = 0.0     ;  0.0     /0.759200=  0.0     
0.734147: 170: 0.967001; 0.004262* 299.435189= 1.276162;  1.276162/0.734147=  1.738292
0.708520: 180: 0.965092; 0.0     *   0.0     = 0.0     ;  0.0     /0.708520=  0.0     
0.682436: 190: 0.963185; 0.004410* 267.335529= 1.179031;  1.179031/0.682436=  1.727681
0.656013: 200: 0.961282; 0.0     *   0.0     = 0.0     ;  0.0     /0.656013=  0.0     
0.629370: 209: 0.959386; 0.004572* 239.911634= 1.096941;  1.096941/0.629370=  1.742919
