# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-015-logSNR.txt
# order     : 3
# steps     : 15
# skip_type : logSNR
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99749959   10
# 0.98760682   30
# 0.94089365   72
# 0.84471387  124
# 0.65021044  202
# 0.38845780  302
# 0.17835049  409
# 0.06905308  511
# 0.02472051  602
# 0.00858723  684
# 0.00295111  757
# 0.00101042  824
# 0.00034551  886
# 0.00011809  944
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:9221.714208 = 9221.692226 + 0.021982
# loss_var     : 10189.947297 => 9221.692226
# model.learning_portion: 0.01
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.995003:  17: 0.995003; 0.004997* 699.196346= 3.493927;  3.493927/0.995003=  3.511474
0.975285:  44: 0.980183; 0.0     *   0.0     = 0.0     ;  0.0     /0.975285=  0.0     
0.928850:  80: 0.952389; 0.039378* 413.261004=16.273551; 16.273551/0.928850= 17.520105
0.843185: 125: 0.907773; 0.0     *   0.0     = 0.0     ;  0.0     /0.843185=  0.0     
0.657463: 199: 0.779737; 0.0     *   0.0     = 0.0     ;  0.0     /0.657463=  0.0     
0.399364: 297: 0.607432; 0.360124* 267.535360=96.345905; 96.345905/0.399364=241.248272
0.187351: 404: 0.469123; 0.0     *   0.0     = 0.0     ;  0.0     /0.187351=  0.0     
0.074411: 504: 0.397175; 0.0     *   0.0     = 0.0     ;  0.0     /0.074411=  0.0     
0.027383: 594: 0.367992; 0.613524*  53.225422=32.655056; 32.655056/0.027383=1192.542999
0.009786: 674: 0.357371; 0.0     *   0.0     = 0.0     ;  0.0     /0.009786=  0.0     
0.003461: 746: 0.353662; 0.0     *   0.0     = 0.0     ;  0.0     /0.003461=  0.0     
0.001220: 812: 0.352386; 0.626093*   5.968313= 3.736716;  3.736716/0.001220=3063.985680
0.000429: 874: 0.351946; 0.0     *   0.0     = 0.0     ;  0.0     /0.000429=  0.0     
0.000151: 931: 0.351784; 0.0     *   0.0     = 0.0     ;  0.0     /0.000151=  0.0     
0.000053: 985: 0.351773; 0.626327*   0.398824= 0.249794;  0.249794/0.000053=4702.883696
