# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-015-time_quadratic.txt
# order     : 3
# steps     : 15
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99831408    8
# 0.99106145   24
# 0.97020745   49
# 0.92504120   83
# 0.84484196  124
# 0.72390133  174
# 0.56756419  232
# 0.39544648  299
# 0.23678841  374
# 0.11733688  457
# 0.04613606  549
# 0.01374107  649
# 0.00294653  757
# 0.00043045  874
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 008000; loss:37158.008775 = 37157.987106 + 0.021669
# loss_var     : 44866.520148 => 37157.987106
# model.learning_portion: 0.01
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.996639:  13: 0.996639; 0.003361* 786.143852= 2.642600;  2.642600/0.996639=  2.651513
0.982186:  37: 0.985498; 0.0     *   0.0     = 0.0     ;  0.0     /0.982186=  0.0     
0.951734:  65: 0.968997; 0.026581* 463.438404=12.318708; 12.318708/0.951734= 12.943429
0.897934:  98: 0.943472; 0.0     *   0.0     = 0.0     ;  0.0     /0.897934=  0.0     
0.811149: 139: 0.903350; 0.0     *   0.0     = 0.0     ;  0.0     /0.811149=  0.0     
0.686940: 188: 0.846873; 0.139033* 367.194102=51.052067; 51.052067/0.686940= 74.318100
0.545311: 241: 0.793826; 0.0     *   0.0     = 0.0     ;  0.0     /0.545311=  0.0     
0.385299: 303: 0.706569; 0.0     *   0.0     = 0.0     ;  0.0     /0.385299=  0.0     
0.234510: 375: 0.608643; 0.300312* 148.452308=44.582066; 44.582066/0.234510=190.107345
0.118526: 456: 0.505421; 0.0     *   0.0     = 0.0     ;  0.0     /0.118526=  0.0     
0.047781: 546: 0.403130; 0.0     *   0.0     = 0.0     ;  0.0     /0.047781=  0.0     
0.014707: 643: 0.307788; 0.598331*  37.737418=22.579454; 22.579454/0.014707=1535.332616
0.003300: 749: 0.224402; 0.0     *   0.0     = 0.0     ;  0.0     /0.003300=  0.0     
0.000515: 863: 0.156087; 0.0     *   0.0     = 0.0     ;  0.0     /0.000515=  0.0     
0.000053: 985: 0.103762; 0.883849*   2.137298= 1.889048;  1.889048/0.000053=35342.634101
