# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-015-time_uniform.txt
# order     : 3
# steps     : 15
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.94968152   66
# 0.82560641  133
# 0.65688461  199
# 0.47827139  266
# 0.31862476  333
# 0.19420020  399
# 0.10827720  466
# 0.05521875  532
# 0.02575418  599
# 0.01098423  666
# 0.00428348  732
# 0.00152714  799
# 0.00049770  865
# 0.00014825  932
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:9978.528002 = 9978.505442 + 0.022560
# loss_var     : 11134.859039 => 9978.505442
# model.learning_portion: 0.01
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.939697:  73: 0.939697; 0.060303* 294.820426=17.778488; 17.778488/0.939697= 18.919380
0.807576: 140: 0.859401; 0.0     *   0.0     = 0.0     ;  0.0     /0.807576=  0.0     
0.646779: 203: 0.800889; 0.152564* 174.206100=26.577626; 26.577626/0.646779= 41.092262
0.477369: 266: 0.738070; 0.0     *   0.0     = 0.0     ;  0.0     /0.477369=  0.0     
0.322793: 331: 0.676192; 0.0     *   0.0     = 0.0     ;  0.0     /0.322793=  0.0     
0.199966: 395: 0.619487; 0.318077* 131.086681=41.695667; 41.695667/0.199966=208.513930
0.113490: 461: 0.567548; 0.0     *   0.0     = 0.0     ;  0.0     /0.113490=  0.0     
0.059011: 526: 0.519970; 0.0     *   0.0     = 0.0     ;  0.0     /0.059011=  0.0     
0.028113: 592: 0.476398; 0.423110*  41.071018=17.377565; 17.377565/0.028113=618.133753
0.012271: 657: 0.436498; 0.0     *   0.0     = 0.0     ;  0.0     /0.012271=  0.0     
0.004908: 723: 0.399965; 0.0     *   0.0     = 0.0     ;  0.0     /0.004908=  0.0     
0.001799: 789: 0.366518; 0.562084*   7.303155= 4.104985;  4.104985/0.001799=2281.947753
0.000604: 854: 0.335882; 0.0     *   0.0     = 0.0     ;  0.0     /0.000604=  0.0     
0.000186: 920: 0.307870; 0.0     *   0.0     = 0.0     ;  0.0     /0.000186=  0.0     
0.000053: 985: 0.282243; 0.687718*   0.519892= 0.357539;  0.357539/0.000053=6809.898365
