# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-020-time_quadratic.txt
# order     : 3
# steps     : 20
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99901235    5
# 0.99580753   15
# 0.98750734   30
# 0.97020745   49
# 0.93923771   73
# 0.88986641  102
# 0.81845045  136
# 0.72390145  174
# 0.60912907  217
# 0.48175377  265
# 0.35333252  317
# 0.23678841  374
# 0.14267248  436
# 0.07594710  502
# 0.03504874  573
# 0.01374107  649
# 0.00447862  729
# 0.00118584  814
# 0.00024891  904
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 006000; loss:18570.497673 = 18570.468692 + 0.028982
# loss_var     : 20552.972861 => 18570.468692
# model.learning_portion: 0.01
# model.out_channels    : 20
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.998034:   9: 0.998034; 0.0     *   0.0     = 0.0     ;  0.0     /0.998034=  0.0     
0.991651:  23: 0.993605; 0.008349* 913.632086= 7.628101;  7.628101/0.991651=  7.692326
0.975163:  44: 0.983374; 0.0     *   0.0     = 0.0     ;  0.0     /0.975163=  0.0     
0.948383:  67: 0.972538; 0.0     *   0.0     = 0.0     ;  0.0     /0.948383=  0.0     
0.908684:  92: 0.958140; 0.046104* 660.351013=30.444616; 30.444616/0.908684= 33.504083
0.851871: 121: 0.937478; 0.0     *   0.0     = 0.0     ;  0.0     /0.851871=  0.0     
0.775034: 154: 0.909803; 0.0     *   0.0     = 0.0     ;  0.0     /0.775034=  0.0     
0.677792: 192: 0.874531; 0.094033* 327.298187=30.776958; 30.776958/0.677792= 45.407682
0.563583: 234: 0.831499; 0.0     *   0.0     = 0.0     ;  0.0     /0.563583=  0.0     
0.440125: 281: 0.780940; 0.0     *   0.0     = 0.0     ;  0.0     /0.440125=  0.0     
0.318421: 333: 0.723480; 0.190544* 164.529742=31.350179; 31.350179/0.318421= 98.455002
0.210222: 389: 0.660200; 0.0     *   0.0     = 0.0     ;  0.0     /0.210222=  0.0     
0.128682: 447: 0.612124; 0.0     *   0.0     = 0.0     ;  0.0     /0.128682=  0.0     
0.069738: 510: 0.541940; 0.334249*  67.169635=22.451357; 22.451357/0.069738=321.940018
0.032861: 578: 0.471214; 0.0     *   0.0     = 0.0     ;  0.0     /0.032861=  0.0     
0.013212: 652: 0.402053; 0.0     *   0.0     = 0.0     ;  0.0     /0.013212=  0.0     
0.004438: 730: 0.335927; 0.569209*  15.281934= 8.698621;  8.698621/0.004438=1959.914699
0.001220: 813: 0.274775; 0.0     *   0.0     = 0.0     ;  0.0     /0.001220=  0.0     
0.000268: 900: 0.219901; 0.0     *   0.0     = 0.0     ;  0.0     /0.000268=  0.0     
0.000046: 992: 0.172147; 0.806790*   0.921463= 0.743427;  0.743427/0.000046=16103.554883
