# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-020-time_uniform.txt
# order     : 3
# steps     : 20
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.97000456   49
# 0.89532876   99
# 0.78625154  149
# 0.65688467  199
# 0.52208745  249
# 0.39473227  299
# 0.28388703  349
# 0.19420029  399
# 0.12635562  449
# 0.07819104  499
# 0.04601666  549
# 0.02575418  599
# 0.01370670  649
# 0.00693662  699
# 0.00333788  749
# 0.00152714  799
# 0.00066428  849
# 0.00027471  899
# 0.00010799  949
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:6441.183866 = 6441.165246 + 0.018621
# loss_var     : 7195.658344 => 6441.165246
# model.learning_portion: 0.01
# model.out_channels    : 20
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.979999:  39: 0.979999; 0.0     *   0.0     = 0.0     ;  0.0     /0.979999=  0.0     
0.914351:  89: 0.933013; 0.085649* 445.344440=38.143089; 38.143089/0.914351= 41.716003
0.812099: 139: 0.888169; 0.0     *   0.0     = 0.0     ;  0.0     /0.812099=  0.0     
0.686599: 188: 0.845462; 0.0     *   0.0     = 0.0     ;  0.0     /0.686599=  0.0     
0.552569: 238: 0.804792; 0.194829* 276.806558=53.929994; 53.929994/0.552569= 97.598608
0.423304: 288: 0.766064; 0.0     *   0.0     = 0.0     ;  0.0     /0.423304=  0.0     
0.308668: 337: 0.729188; 0.0     *   0.0     = 0.0     ;  0.0     /0.308668=  0.0     
0.214238: 387: 0.694075; 0.220833* 124.345384=27.459570; 27.459570/0.214238=128.172907
0.141536: 436: 0.660645; 0.0     *   0.0     = 0.0     ;  0.0     /0.141536=  0.0     
0.089000: 486: 0.628816; 0.0     *   0.0     = 0.0     ;  0.0     /0.089000=  0.0     
0.053268: 536: 0.598515; 0.281956*  52.453096=14.789448; 14.789448/0.053268=277.643539
0.030345: 585: 0.569670; 0.0     *   0.0     = 0.0     ;  0.0     /0.030345=  0.0     
0.016453: 635: 0.542212; 0.0     *   0.0     = 0.0     ;  0.0     /0.016453=  0.0     
0.008491: 684: 0.516075; 0.368774*  16.474661= 6.075427;  6.075427/0.008491=715.496452
0.004171: 734: 0.491196; 0.0     *   0.0     = 0.0     ;  0.0     /0.004171=  0.0     
0.001950: 783: 0.467518; 0.0     *   0.0     = 0.0     ;  0.0     /0.001950=  0.0     
0.000868: 833: 0.444983; 0.464114*   3.183259= 1.477394;  1.477394/0.000868=1702.672323
0.000368: 882: 0.423545; 0.0     *   0.0     = 0.0     ;  0.0     /0.000368=  0.0     
0.000148: 932: 0.403105; 0.0     *   0.0     = 0.0     ;  0.0     /0.000148=  0.0     
0.000057: 981: 0.383738; 0.553715*   0.357063= 0.197711;  0.197711/0.000057=3477.865413
