# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-050-time_quadratic.txt
# order     : 3
# steps     : 50
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99969620    1
# 0.99930996    3
# 0.99862993    7
# 0.99751961   10
# 0.99580753   15
# 0.99329579   20
# 0.98974973   26
# 0.98490953   33
# 0.97849500   41
# 0.97020745   49
# 0.95973396   58
# 0.94675821   68
# 0.93097502   79
# 0.91209573   90
# 0.88986635  102
# 0.86408037  115
# 0.83459920  129
# 0.80136335  143
# 0.76441395  158
# 0.72390133  174
# 0.68009883  191
# 0.63340271  208
# 0.58433783  226
# 0.53354198  245
# 0.48175344  265
# 0.42977899  285
# 0.37847048  306
# 0.32867697  328
# 0.28120837  350
# 0.23678841  374
# 0.19602349  398
# 0.15936618  423
# 0.12709631  448
# 0.09931426  475
# 0.07594710  502
# 0.05676719  530
# 0.04142054  558
# 0.02946457  588
# 0.02040645  618
# 0.01374107  649
# 0.00898346  680
# 0.00569389  713
# 0.00349358  746
# 0.00207191  780
# 0.00118584  814
# 0.00065396  850
# 0.00034693  886
# 0.00017675  923
# 0.00008633  960
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:4020.642634 = 4020.633061 + 0.009573
# loss_var     : 4669.741791 => 4020.633061
# model.learning_portion: 0.01
# model.out_channels    : 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999396:   3: 0.999396; 0.0     *   0.0     = 0.0     ;  0.0     /0.999396=  0.0     
0.998672:   6: 0.999275; 0.001328*1222.119233= 1.623075;  1.623075/0.998672=  1.625234
0.997365:  11: 0.998691; 0.0     *   0.0     = 0.0     ;  0.0     /0.997365=  0.0     
0.996974:  12: 0.999608; 0.0     *   0.0     = 0.0     ;  0.0     /0.996974=  0.0     
0.996005:  15: 0.999029; 0.000719*1589.766191= 1.142513;  1.142513/0.996005=  1.147095
0.991208:  24: 0.995183; 0.0     *   0.0     = 0.0     ;  0.0     /0.991208=  0.0     
0.990937:  25: 0.999727; 0.0     *   0.0     = 0.0     ;  0.0     /0.990937=  0.0     
0.990686:  25: 0.999747; 0.001120*1162.261415= 1.302283;  1.302283/0.990686=  1.314525
0.982877:  36: 0.992117; 0.0     *   0.0     = 0.0     ;  0.0     /0.982877=  0.0     
0.982717:  36: 0.999837; 0.0     *   0.0     = 0.0     ;  0.0     /0.982717=  0.0     
0.981815:  37: 0.999082; 0.001504* 930.061533= 1.398518;  1.398518/0.981815=  1.424420
0.978345:  41: 0.996466; 0.0     *   0.0     = 0.0     ;  0.0     /0.978345=  0.0     
0.971808:  48: 0.993319; 0.0     *   0.0     = 0.0     ;  0.0     /0.971808=  0.0     
0.961808:  57: 0.989710; 0.003839* 785.431756= 3.015046;  3.015046/0.961808=  3.134768
0.947979:  67: 0.985622; 0.0     *   0.0     = 0.0     ;  0.0     /0.947979=  0.0     
0.929984:  79: 0.981017; 0.0     *   0.0     = 0.0     ;  0.0     /0.929984=  0.0     
0.907548:  93: 0.975876; 0.013047* 559.496194= 7.299812;  7.299812/0.907548=  8.043442
0.880478: 107: 0.970172; 0.0     *   0.0     = 0.0     ;  0.0     /0.880478=  0.0     
0.848681: 122: 0.963886; 0.0     *   0.0     = 0.0     ;  0.0     /0.848681=  0.0     
0.812184: 139: 0.956997; 0.021239* 396.163411= 8.414174;  8.414174/0.812184= 10.359930
0.771157: 155: 0.949486; 0.0     *   0.0     = 0.0     ;  0.0     /0.771157=  0.0     
0.725917: 173: 0.941334; 0.0     *   0.0     = 0.0     ;  0.0     /0.725917=  0.0     
0.676941: 192: 0.932533; 0.029836* 286.898022= 8.559794;  8.559794/0.676941= 12.644812
0.624862: 211: 0.923066; 0.0     *   0.0     = 0.0     ;  0.0     /0.624862=  0.0     
0.570455: 231: 0.912930; 0.0     *   0.0     = 0.0     ;  0.0     /0.570455=  0.0     
0.514613: 252: 0.902110; 0.040452* 209.338121= 8.468108;  8.468108/0.514613= 16.455292
0.458321: 274: 0.890612; 0.0     *   0.0     = 0.0     ;  0.0     /0.458321=  0.0     
0.402603: 296: 0.878431; 0.0     *   0.0     = 0.0     ;  0.0     /0.402603=  0.0     
0.348482: 319: 0.865573; 0.054686* 150.201022= 8.213892;  8.213892/0.348482= 23.570463
0.296919: 343: 0.852035; 0.0     *   0.0     = 0.0     ;  0.0     /0.296919=  0.0     
0.248770: 367: 0.837839; 0.0     *   0.0     = 0.0     ;  0.0     /0.248770=  0.0     
0.204736: 393: 0.822992; 0.074578* 103.484274= 7.717685;  7.717685/0.204736= 37.695771
0.165326: 419: 0.807508; 0.0     *   0.0     = 0.0     ;  0.0     /0.165326=  0.0     
0.130840: 445: 0.791407; 0.0     *   0.0     = 0.0     ;  0.0     /0.130840=  0.0     
0.101363: 473: 0.774712; 0.102711*  66.162704= 6.795641;  6.795641/0.101363= 67.042341
0.076778: 501: 0.757454; 0.0     *   0.0     = 0.0     ;  0.0     /0.076778=  0.0     
0.056789: 530: 0.739654; 0.0     *   0.0     = 0.0     ;  0.0     /0.056789=  0.0     
0.040965: 559: 0.721349; 0.141876*  37.678771= 5.345710;  5.345710/0.040965=130.494894
0.028781: 590: 0.702574; 0.0     *   0.0     = 0.0     ;  0.0     /0.028781=  0.0     
0.019668: 621: 0.683368; 0.0     *   0.0     = 0.0     ;  0.0     /0.019668=  0.0     
0.013055: 653: 0.663766; 0.194140*  17.833883= 3.462271;  3.462271/0.013055=265.208912
0.008405: 685: 0.643818; 0.0     *   0.0     = 0.0     ;  0.0     /0.008405=  0.0     
0.005241: 718: 0.623566; 0.0     *   0.0     = 0.0     ;  0.0     /0.005241=  0.0     
0.003161: 752: 0.603061; 0.259690*   6.522153= 1.693735;  1.693735/0.003161=535.878178
0.001841: 787: 0.582340; 0.0     *   0.0     = 0.0     ;  0.0     /0.001841=  0.0     
0.001033: 823: 0.561474; 0.0     *   0.0     = 0.0     ;  0.0     /0.001033=  0.0     
0.000559: 859: 0.540506; 0.336394*   1.683187= 0.566214;  0.566214/0.000559=1013.664052
0.000290: 896: 0.519468; 0.0     *   0.0     = 0.0     ;  0.0     /0.000290=  0.0     
0.000145: 933: 0.498430; 0.0     *   0.0     = 0.0     ;  0.0     /0.000145=  0.0     
0.000069: 972: 0.477508; 0.420481*   0.310569= 0.130589;  0.130589/0.000069=1890.928932
