# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-100-time_uniform.txt
# order     : 3
# steps     : 100
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99780953    9
# 0.99374515   19
# 0.98773104   29
# 0.97980201   39
# 0.97000456   49
# 0.95839578   59
# 0.94504291   69
# 0.93002242   79
# 0.91341996   89
# 0.89532876   99
# 0.87584955  109
# 0.85508835  119
# 0.83315718  129
# 0.81017190  139
# 0.78625154  149
# 0.76151741  159
# 0.73609179  169
# 0.71009684  179
# 0.68365443  189
# 0.65688467  199
# 0.62990409  209
# 0.60282707  219
# 0.57576317  229
# 0.54881668  239
# 0.52208734  249
# 0.49566856  259
# 0.46964699  269
# 0.44410276  279
# 0.41910937  289
# 0.39473221  299
# 0.37103009  309
# 0.34805411  319
# 0.32584834  329
# 0.30444932  339
# 0.28388688  349
# 0.26418364  359
# 0.24535610  369
# 0.22741447  379
# 0.21036287  389
# 0.19420020  399
# 0.17892064  409
# 0.16451302  419
# 0.15096261  429
# 0.13825080  439
# 0.12635559  449
# 0.11525249  459
# 0.10491432  469
# 0.09531191  479
# 0.08641478  489
# 0.07819104  499
# 0.07060788  509
# 0.06363231  519
# 0.05723079  529
# 0.05136989  539
# 0.04601666  549
# 0.04113853  559
# 0.03670358  569
# 0.03268099  579
# 0.02904078  589
# 0.02575418  599
# 0.02279360  609
# 0.02013283  619
# 0.01774685  629
# 0.01561221  639
# 0.01370668  649
# 0.01200952  659
# 0.01050132  669
# 0.00916405  679
# 0.00798095  689
# 0.00693661  699
# 0.00601678  709
# 0.00520841  719
# 0.00449956  729
# 0.00387935  739
# 0.00333788  749
# 0.00286620  759
# 0.00245621  769
# 0.00210062  779
# 0.00179288  789
# 0.00152714  799
# 0.00129816  809
# 0.00110129  819
# 0.00093239  829
# 0.00078780  839
# 0.00066428  849
# 0.00055900  859
# 0.00046946  869
# 0.00039346  879
# 0.00032910  889
# 0.00027471  899
# 0.00022884  909
# 0.00019025  919
# 0.00015784  929
# 0.00013069  939
# 0.00010799  949
# 0.00008906  959
# 0.00007329  969
# 0.00006020  979
# 0.00004934  989
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:1001.918939 = 1001.915924 + 0.003015
# loss_var     : 1348.725949 => 1001.915924
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.995629:  15: 0.995629; 0.004371* 727.293022= 3.179005;  3.179005/0.995629=  3.192961
0.989240:  27: 0.993583; 0.0     *   0.0     = 0.0     ;  0.0     /0.989240=  0.0     
0.989178:  27: 0.999937; 0.0     *   0.0     = 0.0     ;  0.0     /0.989178=  0.0     
0.989111:  27: 0.999933; 0.001479*1096.344566= 1.620995;  1.620995/0.989111=  1.638840
0.985527:  33: 0.996376; 0.0     *   0.0     = 0.0     ;  0.0     /0.985527=  0.0     
0.983531:  35: 0.997975; 0.0     *   0.0     = 0.0     ;  0.0     /0.983531=  0.0     
0.979600:  40: 0.996003; 0.001520* 939.427450= 1.427541;  1.427541/0.979600=  1.457269
0.973818:  46: 0.994098; 0.0     *   0.0     = 0.0     ;  0.0     /0.973818=  0.0     
0.966165:  53: 0.992141; 0.0     *   0.0     = 0.0     ;  0.0     /0.966165=  0.0     
0.956684:  61: 0.990187; 0.004486* 740.546628= 3.322042;  3.322042/0.956684=  3.472453
0.945430:  69: 0.988236; 0.0     *   0.0     = 0.0     ;  0.0     /0.945430=  0.0     
0.932467:  78: 0.986289; 0.0     *   0.0     = 0.0     ;  0.0     /0.932467=  0.0     
0.917869:  87: 0.984345; 0.006844* 565.522944= 3.870220;  3.870220/0.917869=  4.216527
0.901719:  96: 0.982405; 0.0     *   0.0     = 0.0     ;  0.0     /0.901719=  0.0     
0.884107: 105: 0.980468; 0.0     *   0.0     = 0.0     ;  0.0     /0.884107=  0.0     
0.865130: 115: 0.978535; 0.007924* 447.648395= 3.547193;  3.547193/0.865130=  4.100186
0.844891: 124: 0.976605; 0.0     *   0.0     = 0.0     ;  0.0     /0.844891=  0.0     
0.823497: 134: 0.974678; 0.0     *   0.0     = 0.0     ;  0.0     /0.823497=  0.0     
0.801061: 143: 0.972755; 0.008582* 365.390829= 3.135812;  3.135812/0.801061=  3.914574
0.777699: 153: 0.970836; 0.0     *   0.0     = 0.0     ;  0.0     /0.777699=  0.0     
0.753528: 163: 0.968920; 0.0     *   0.0     = 0.0     ;  0.0     /0.753528=  0.0     
0.728667: 172: 0.967007; 0.009121* 304.302535= 2.775441;  2.775441/0.728667=  3.808932
0.703235: 182: 0.965098; 0.0     *   0.0     = 0.0     ;  0.0     /0.703235=  0.0     
0.677350: 192: 0.963192; 0.0     *   0.0     = 0.0     ;  0.0     /0.677350=  0.0     
0.651130: 201: 0.961290; 0.009653* 257.611252= 2.486685;  2.486685/0.651130=  3.819031
0.624688: 211: 0.959391; 0.0     *   0.0     = 0.0     ;  0.0     /0.624688=  0.0     
0.598136: 221: 0.957496; 0.0     *   0.0     = 0.0     ;  0.0     /0.598136=  0.0     
0.571581: 231: 0.955604; 0.010229* 219.849790= 2.248899;  2.248899/0.571581=  3.934522
0.545126: 241: 0.953715; 0.0     *   0.0     = 0.0     ;  0.0     /0.545126=  0.0     
0.518867: 250: 0.951829; 0.0     *   0.0     = 0.0     ;  0.0     /0.518867=  0.0     
0.492896: 260: 0.949947; 0.010878* 188.376509= 2.049071;  2.049071/0.492896=  4.157208
0.467299: 270: 0.948069; 0.0     *   0.0     = 0.0     ;  0.0     /0.467299=  0.0     
0.442156: 280: 0.946194; 0.0     *   0.0     = 0.0     ;  0.0     /0.442156=  0.0     
0.417537: 290: 0.944323; 0.011615* 162.323708= 1.885421;  1.885421/0.417537=  4.515572
0.393510: 300: 0.942454; 0.0     *   0.0     = 0.0     ;  0.0     /0.393510=  0.0     
0.370131: 310: 0.940589; 0.0     *   0.0     = 0.0     ;  0.0     /0.370131=  0.0     
0.347452: 319: 0.938726; 0.012456* 139.722612= 1.740348;  1.740348/0.347452=  5.008890
0.325517: 329: 0.936869; 0.0     *   0.0     = 0.0     ;  0.0     /0.325517=  0.0     
0.304363: 339: 0.935013; 0.0     *   0.0     = 0.0     ;  0.0     /0.304363=  0.0     
0.284020: 349: 0.933162; 0.013410* 119.581883= 1.603619;  1.603619/0.284020=  5.646153
0.264512: 359: 0.931315; 0.0     *   0.0     = 0.0     ;  0.0     /0.264512=  0.0     
0.245855: 369: 0.929469; 0.0     *   0.0     = 0.0     ;  0.0     /0.245855=  0.0     
0.228062: 379: 0.927627; 0.014488* 102.379193= 1.483278;  1.483278/0.228062=  6.503830
0.211138: 389: 0.925789; 0.0     *   0.0     = 0.0     ;  0.0     /0.211138=  0.0     
0.195081: 399: 0.923953; 0.0     *   0.0     = 0.0     ;  0.0     /0.195081=  0.0     
0.179889: 408: 0.922123; 0.015698*  86.878379= 1.363800;  1.363800/0.179889=  7.581345
0.165551: 418: 0.920294; 0.0     *   0.0     = 0.0     ;  0.0     /0.165551=  0.0     
0.152053: 428: 0.918468; 0.0     *   0.0     = 0.0     ;  0.0     /0.152053=  0.0     
0.139379: 438: 0.916647; 0.017046*  72.896726= 1.242583;  1.242583/0.139379=  8.915136
0.127508: 448: 0.914829; 0.0     *   0.0     = 0.0     ;  0.0     /0.127508=  0.0     
0.116416: 458: 0.913012; 0.0     *   0.0     = 0.0     ;  0.0     /0.116416=  0.0     
0.106079: 468: 0.911201; 0.018537*  60.781299= 1.126721;  1.126721/0.106079= 10.621552
0.096467: 478: 0.909393; 0.0     *   0.0     = 0.0     ;  0.0     /0.096467=  0.0     
0.087552: 488: 0.907587; 0.0     *   0.0     = 0.0     ;  0.0     /0.087552=  0.0     
0.079304: 498: 0.905785; 0.020175*  50.150579= 1.011800;  1.011800/0.079304= 12.758535
0.071690: 508: 0.903987; 0.0     *   0.0     = 0.0     ;  0.0     /0.071690=  0.0     
0.064678: 517: 0.902190; 0.0     *   0.0     = 0.0     ;  0.0     /0.064678=  0.0     
0.058236: 527: 0.900399; 0.021961*  40.696935= 0.893737;  0.893737/0.058236= 15.346907
0.052331: 537: 0.898609; 0.0     *   0.0     = 0.0     ;  0.0     /0.052331=  0.0     
0.046932: 547: 0.896824; 0.0     *   0.0     = 0.0     ;  0.0     /0.046932=  0.0     
0.042006: 557: 0.895040; 0.023893*  32.592758= 0.778745;  0.778745/0.042006= 18.538976
0.037522: 567: 0.893262; 0.0     *   0.0     = 0.0     ;  0.0     /0.037522=  0.0     
0.033450: 577: 0.891484; 0.0     *   0.0     = 0.0     ;  0.0     /0.033450=  0.0     
0.029761: 587: 0.889713; 0.025969*  25.702406= 0.667458;  0.667458/0.029761= 22.427021
0.026426: 597: 0.887942; 0.0     *   0.0     = 0.0     ;  0.0     /0.026426=  0.0     
0.023418: 607: 0.886176; 0.0     *   0.0     = 0.0     ;  0.0     /0.023418=  0.0     
0.020712: 617: 0.884412; 0.028183*  19.794567= 0.557878;  0.557878/0.020712= 26.935658
0.018281: 627: 0.882653; 0.0     *   0.0     = 0.0     ;  0.0     /0.018281=  0.0     
0.016104: 636: 0.880894; 0.0     *   0.0     = 0.0     ;  0.0     /0.016104=  0.0     
0.014157: 646: 0.879142; 0.030530*  15.008345= 0.458209;  0.458209/0.014157= 32.365193
0.012422: 656: 0.877391; 0.0     *   0.0     = 0.0     ;  0.0     /0.012422=  0.0     
0.010877: 666: 0.875644; 0.0     *   0.0     = 0.0     ;  0.0     /0.010877=  0.0     
0.009505: 676: 0.873900; 0.033002*  11.099539= 0.366312;  0.366312/0.009505= 38.537458
0.008290: 686: 0.872159; 0.0     *   0.0     = 0.0     ;  0.0     /0.008290=  0.0     
0.007216: 696: 0.870419; 0.0     *   0.0     = 0.0     ;  0.0     /0.007216=  0.0     
0.006268: 706: 0.868686; 0.035592*   8.031090= 0.285846;  0.285846/0.006268= 45.601361
0.005434: 716: 0.866954; 0.0     *   0.0     = 0.0     ;  0.0     /0.005434=  0.0     
0.004702: 726: 0.865226; 0.0     *   0.0     = 0.0     ;  0.0     /0.004702=  0.0     
0.004060: 736: 0.863498; 0.038292*   5.657092= 0.216623;  0.216623/0.004060= 53.353521
0.003499: 746: 0.861777; 0.0     *   0.0     = 0.0     ;  0.0     /0.003499=  0.0     
0.003009: 756: 0.860057; 0.0     *   0.0     = 0.0     ;  0.0     /0.003009=  0.0     
0.002583: 765: 0.858344; 0.041094*   3.893217= 0.159987;  0.159987/0.002583= 61.938245
0.002213: 775: 0.856632; 0.0     *   0.0     = 0.0     ;  0.0     /0.002213=  0.0     
0.001892: 785: 0.854923; 0.0     *   0.0     = 0.0     ;  0.0     /0.001892=  0.0     
0.001614: 795: 0.853207; 0.043991*   2.594833= 0.114149;  0.114149/0.001614= 70.724768
0.001374: 805: 0.851510; 0.0     *   0.0     = 0.0     ;  0.0     /0.001374=  0.0     
0.001168: 815: 0.849819; 0.0     *   0.0     = 0.0     ;  0.0     /0.001168=  0.0     
0.000991: 825: 0.848110; 0.046975*   1.683953= 0.079103;  0.079103/0.000991= 79.858941
0.000838: 835: 0.846423; 0.0     *   0.0     = 0.0     ;  0.0     /0.000838=  0.0     
0.000708: 845: 0.844729; 0.0     *   0.0     = 0.0     ;  0.0     /0.000708=  0.0     
0.000597: 855: 0.843022; 0.050046*   1.071477= 0.053623;  0.053623/0.000597= 89.813579
0.000502: 865: 0.841365; 0.0     *   0.0     = 0.0     ;  0.0     /0.000502=  0.0     
0.000422: 875: 0.839643; 0.0     *   0.0     = 0.0     ;  0.0     /0.000422=  0.0     
0.000353: 885: 0.837989; 0.053196*   0.670246= 0.035654;  0.035654/0.000353=100.874098
0.000296: 895: 0.836304; 0.0     *   0.0     = 0.0     ;  0.0     /0.000296=  0.0     
0.000247: 904: 0.834704; 0.0     *   0.0     = 0.0     ;  0.0     /0.000247=  0.0     
0.000206: 914: 0.832927; 0.056411*   0.415060= 0.023414;  0.023414/0.000206=113.931795
0.000171: 924: 0.831393; 0.0     *   0.0     = 0.0     ;  0.0     /0.000171=  0.0     
0.000142: 934: 0.829600; 0.0     *   0.0     = 0.0     ;  0.0     /0.000142=  0.0     
0.000117: 944: 0.827996; 0.059690*   0.260339= 0.015540;  0.015540/0.000117=132.404889
